original_icd_code,original_icd_version,canonical_icd_code,canonical_icd_version,long_title
T83428,10,T8342,10,"Displacement of other prosthetic devices, implants and grafts of genital tract"
T8562,10,T8562,10,"Displacement of other specified internal prosthetic devices, implants and grafts"
T85628,10,T8562,10,"Displacement of other specified internal prosthetic devices, implants and grafts"
T8312,10,T8312,10,Displacement of other urinary devices and implants
T83128,10,T8312,10,Displacement of other urinary devices and implants
T8232,10,T8232,10,Displacement of other vascular grafts
T82328,10,T8232,10,Displacement of other vascular grafts
6121,9,N651,10,Disproportion of reconstructed breast
N651,10,N651,10,Disproportion of reconstructed breast
99833,9,T8133,10,Disruption of traumatic injury wound repair
T8133,10,T8133,10,Disruption of traumatic injury wound repair
99830,9,T8130,10,"Disruption of wound, unspecified"
T8130,10,T8130,10,"Disruption of wound, unspecified"
44321,9,I7771,10,Dissection of carotid artery
I7771,10,I7771,10,Dissection of carotid artery
44322,9,I7772,10,Dissection of iliac artery
I7772,10,I7772,10,Dissection of iliac artery
44323,9,I7773,10,Dissection of renal artery
I7773,10,I7773,10,Dissection of renal artery
44324,9,I7774,10,Dissection of vertebral artery
I7774,10,I7774,10,Dissection of vertebral artery
69275,9,L565,10,Disseminated superficial actinic porokeratosis (DSAP)
L565,10,L565,10,Disseminated superficial actinic porokeratosis (DSAP)
37955,9,H5504,10,Dissociated nystagmus
H5504,10,H5504,10,Dissociated nystagmus
30012,9,F440,10,Dissociative amnesia
F440,10,F440,10,Dissociative amnesia
30013,9,F441,10,Dissociative fugue
F441,10,F441,10,Dissociative fugue
30014,9,F4481,10,Dissociative identity disorder
F4481,10,F4481,10,Dissociative identity disorder
5206,9,K006,10,Disturbances in tooth eruption
K006,10,K006,10,Disturbances in tooth eruption
5963,9,N323,10,Diverticulum of bladder
N323,10,N323,10,Diverticulum of bladder
5306,9,K225,10,"Diverticulum of esophagus, acquired"
K225,10,K225,10,"Diverticulum of esophagus, acquired"
7804,9,R42,10,Dizziness and giddiness
R42,10,R42,10,Dizziness and giddiness
Z528,10,Z528,10,Donor of other specified organs or tissues
Z5289,10,Z528,10,Donor of other specified organs or tissues
74511,9,Q201,10,Double outlet right ventricle
Q201,10,Q201,10,Double outlet right ventricle
37721,9,H4732,10,Drusen of optic disc
H4732,10,H4732,10,Drusen of optic disc
V4985,9,Z7382,10,Dual sensory impairment
Z7382,10,Z7382,10,Dual sensory impairment
37871,9,H5081,10,Duane's syndrome
H5081,10,H5081,10,Duane's syndrome
E9084,9,X373,10,Dust storm
X373,10,X373,10,Dust storm
5305,9,K224,10,Dyskinesia of esophagus
K224,10,K224,10,Dyskinesia of esophagus
6250,9,N941,10,Dyspareunia
N941,10,N941,10,Dyspareunia
78721,9,R1311,10,"Dysphagia, oral phase"
R1311,10,R1311,10,"Dysphagia, oral phase"
78722,9,R1312,10,"Dysphagia, oropharyngeal phase"
R1312,10,R1312,10,"Dysphagia, oropharyngeal phase"
78723,9,R1313,10,"Dysphagia, pharyngeal phase"
R1313,10,R1313,10,"Dysphagia, pharyngeal phase"
78724,9,R1314,10,"Dysphagia, pharyngoesophageal phase"
R1314,10,R1314,10,"Dysphagia, pharyngoesophageal phase"
78720,9,R1310,10,"Dysphagia, unspecified"
R1310,10,R1310,10,"Dysphagia, unspecified"
78442,9,R490,10,Dysphonia
R490,10,R490,10,Dysphonia
56944,9,K6282,10,Dysplasia of anus
K6282,10,K6282,10,Dysplasia of anus
6023,9,N423,10,Dysplasia of prostate
N423,10,N423,10,Dysplasia of prostate
3004,9,F341,10,Dysthymic disorder
F341,10,F341,10,Dysthymic disorder
36276,9,H3554,10,Dystrophies primarily involving the retinal pigment epithelium
H3554,10,H3554,10,Dystrophies primarily involving the retinal pigment epithelium
7881,9,R300,10,Dysuria
R300,10,R300,10,Dysuria
0901,9,A501,10,"Early congenital syphilis, latent"
A501,10,A501,10,"Early congenital syphilis, latent"
0900,9,A500,10,"Early congenital syphilis, symptomatic"
A500,10,A500,10,"Early congenital syphilis, symptomatic"
0902,9,A502,10,"Early congenital syphilis, unspecified"
A502,10,A502,10,"Early congenital syphilis, unspecified"
78094,9,R6881,10,Early satiety
R6881,10,R6881,10,Early satiety
0622,9,A832,10,Eastern equine encephalitis
A832,10,A832,10,Eastern equine encephalitis
30750,9,F509,10,"Eating disorder, unspecified"
F509,10,F509,10,"Eating disorder, unspecified"
7462,9,Q225,10,Ebstein's anomaly
Q225,10,Q225,10,Ebstein's anomaly
1229,9,B679,10,"Echinococcosis, other and unspecified"
B679,10,B679,10,"Echinococcosis, other and unspecified"
1228,9,B678,10,"Echinococcosis, unspecified, of liver"
B678,10,B678,10,"Echinococcosis, unspecified, of liver"
1220,9,B670,10,Echinococcus granulosus infection of liver
B670,10,B670,10,Echinococcus granulosus infection of liver
1221,9,B671,10,Echinococcus granulosus infection of lung
B671,10,B671,10,Echinococcus granulosus infection of lung
1224,9,B674,10,"Echinococcus granulosus infection, unspecified"
B674,10,B674,10,"Echinococcus granulosus infection, unspecified"
1225,9,B675,10,Echinococcus multilocularis infection of liver
B675,10,B675,10,Echinococcus multilocularis infection of liver
1227,9,B677,10,"Echinococcus multilocularis infection, unspecified"
B677,10,B677,10,"Echinococcus multilocularis infection, unspecified"
2593,9,E342,10,"Ectopic hormone secretion, not elsewhere classified"
E342,10,E342,10,"Ectopic hormone secretion, not elsewhere classified"
0540,9,B000,10,Eczema herpeticum
B000,10,B000,10,Eczema herpeticum
37331,9,H0113,10,Eczematous dermatitis of eyelid
H0113,10,H0113,10,Eczematous dermatitis of eyelid
37482,9,H0284,10,Edema of eyelid
H0284,10,H0284,10,Edema of eyelid
4786,9,J384,10,Edema of larynx
J384,10,J384,10,Edema of larynx
9940,9,T750,10,Effects of lightning
T750,10,T750,10,Effects of lightning
08241,9,A7741,10,Ehrlichiosis chafeensis [E. chafeensis]
A7741,10,A7741,10,Ehrlichiosis chafeensis [E. chafeensis]
08240,9,A7740,10,"Ehrlichiosis, unspecified"
A7740,10,A7740,10,"Ehrlichiosis, unspecified"
37483,9,H0285,10,Elephantiasis of eyelid
H0285,10,H0285,10,Elephantiasis of eyelid
79095,9,R7982,10,Elevated C-reactive protein (CRP)
R7982,10,R7982,10,Elevated C-reactive protein (CRP)
79582,9,R971,10,Elevated cancer antigen 125 [CA 125]
R971,10,R971,10,Elevated cancer antigen 125 [CA 125]
79581,9,R970,10,Elevated carcinoembryonic antigen [CEA]
R970,10,R970,10,Elevated carcinoembryonic antigen [CEA]
79093,9,R972,10,Elevated prostate specific antigen [PSA]
R972,10,R972,10,Elevated prostate specific antigen [PSA]
R9720,10,R972,10,Elevated prostate specific antigen [PSA]
4440,9,I740,10,Embolism and thrombosis of abdominal aorta
I740,10,I740,10,Embolism and thrombosis of abdominal aorta
44481,9,I745,10,Embolism and thrombosis of iliac artery
I745,10,I745,10,Embolism and thrombosis of iliac artery
I828,10,I828,10,Embolism and thrombosis of other specified veins
I8289,10,I828,10,Embolism and thrombosis of other specified veins
4441,9,I7411,10,Embolism and thrombosis of thoracic aorta
I7411,10,I7411,10,Embolism and thrombosis of thoracic aorta
4449,9,I749,10,Embolism and thrombosis of unspecified artery
I749,10,I749,10,Embolism and thrombosis of unspecified artery
79924,9,R4586,10,Emotional lability
R4586,10,R4586,10,Emotional lability
7420,9,Q01,10,Encephalocele
Q01,10,Q01,10,Encephalocele
34830,9,G9340,10,"Encephalopathy, unspecified"
G9340,10,G9340,10,"Encephalopathy, unspecified"
V5631,9,Z4931,10,Encounter for adequacy testing for hemodialysis
Z4931,10,Z4931,10,Encounter for adequacy testing for hemodialysis
V5632,9,Z4932,10,Encounter for adequacy testing for peritoneal dialysis
Z4932,10,Z4932,10,Encounter for adequacy testing for peritoneal dialysis
Z458,10,Z458,10,Encounter for adjustment and management of other implanted devices
Z4589,10,Z458,10,Encounter for adjustment and management of other implanted devices
Z4828,10,Z4828,10,Encounter for aftercare following multiple organ transplant
Z48288,10,Z4828,10,Encounter for aftercare following multiple organ transplant
Z4829,10,Z4829,10,Encounter for aftercare following other organ transplant
Z48298,10,Z4829,10,Encounter for aftercare following other organ transplant
V5811,9,Z5111,10,Encounter for antineoplastic chemotherapy
Z5111,10,Z5111,10,Encounter for antineoplastic chemotherapy
V581,9,Z511,10,Encounter for antineoplastic chemotherapy and immunotherapy
Z511,10,Z511,10,Encounter for antineoplastic chemotherapy and immunotherapy
V5812,9,Z5112,10,Encounter for antineoplastic immunotherapy
Z5112,10,Z5112,10,Encounter for antineoplastic immunotherapy
V2681,9,Z3183,10,Encounter for assisted reproductive fertility procedure cycle
Z3183,10,Z3183,10,Encounter for assisted reproductive fertility procedure cycle
V7286,9,Z0183,10,Encounter for blood typing
Z0183,10,Z0183,10,Encounter for blood typing
V510,9,Z421,10,Encounter for breast reconstruction following mastectomy
Z421,10,Z421,10,Encounter for breast reconstruction following mastectomy
V5830,9,Z4800,10,Encounter for change or removal of nonsurgical wound dressing
Z4800,10,Z4800,10,Encounter for change or removal of nonsurgical wound dressing
V5831,9,Z4801,10,Encounter for change or removal of surgical wound dressing
Z4801,10,Z4801,10,Encounter for change or removal of surgical wound dressing
Z048,10,Z048,10,Encounter for examination and observation for other specified reasons
Z0489,10,Z048,10,Encounter for examination and observation for other specified reasons
V2642,9,Z3162,10,Encounter for fertility preservation counseling
Z3162,10,Z3162,10,Encounter for fertility preservation counseling
V2682,9,Z3184,10,Encounter for fertility preservation procedure
Z3184,10,Z3184,10,Encounter for fertility preservation procedure
Z465,10,Z465,10,Encounter for fitting and adjustment of other gastrointestinal appliance and device
Z4659,10,Z465,10,Encounter for fitting and adjustment of other gastrointestinal appliance and device
Z468,10,Z468,10,Encounter for fitting and adjustment of other specified devices
Z4689,10,Z468,10,Encounter for fitting and adjustment of other specified devices
V7212,9,Z0112,10,Encounter for hearing conservation and treatment
Z0112,10,Z0112,10,Encounter for hearing conservation and treatment
V7211,9,Z01110,10,Encounter for hearing examination following failed hearing screening
Z01110,10,Z01110,10,Encounter for hearing examination following failed hearing screening
V2511,9,Z30430,10,Encounter for insertion of intrauterine contraceptive device
Z30430,10,Z30430,10,Encounter for insertion of intrauterine contraceptive device
Z038,10,Z038,10,Encounter for observation for other suspected diseases and conditions ruled out
Z0389,10,Z038,10,Encounter for observation for other suspected diseases and conditions ruled out
Z028,10,Z028,10,Encounter for other administrative examinations
Z0289,10,Z028,10,Encounter for other administrative examinations
Z478,10,Z478,10,Encounter for other orthopedic aftercare
Z4789,10,Z478,10,Encounter for other orthopedic aftercare
Z318,10,Z318,10,Encounter for other procreative management
Z3189,10,Z318,10,Encounter for other procreative management
Z518,10,Z518,10,Encounter for other specified aftercare
Z5189,10,Z518,10,Encounter for other specified aftercare
Z018,10,Z018,10,Encounter for other specified special examinations
Z0189,10,Z018,10,Encounter for other specified special examinations
V667,9,Z515,10,Encounter for palliative care
Z515,10,Z515,10,Encounter for palliative care
V2513,9,Z30433,10,Encounter for removal and reinsertion of intrauterine contraceptive device
Z30433,10,Z30433,10,Encounter for removal and reinsertion of intrauterine contraceptive device
V5401,9,Z472,10,Encounter for removal of internal fixation device
Z472,10,Z472,10,Encounter for removal of internal fixation device
V2512,9,Z30432,10,Encounter for removal of intrauterine contraceptive device
Z30432,10,Z30432,10,Encounter for removal of intrauterine contraceptive device
V5832,9,Z4802,10,Encounter for removal of sutures
Z4802,10,Z4802,10,Encounter for removal of sutures
Z127,10,Z127,10,Encounter for screening for malignant neoplasm of other genitourinary organs
Z1279,10,Z127,10,Encounter for screening for malignant neoplasm of other genitourinary organs
Z128,10,Z128,10,Encounter for screening for malignant neoplasm of other sites
Z1289,10,Z128,10,Encounter for screening for malignant neoplasm of other sites
Z115,10,Z115,10,Encounter for screening for other viral diseases
Z1159,10,Z115,10,Encounter for screening for other viral diseases
6030,9,N430,10,Encysted hydrocele
N430,10,N430,10,Encysted hydrocele
5856,9,N186,10,End stage renal disease
N186,10,N186,10,End stage renal disease
4253,9,I424,10,Endocardial fibroelastosis
I424,10,I424,10,Endocardial fibroelastosis
52662,9,M2752,10,Endodontic overfill
M2752,10,M2752,10,Endodontic overfill
52663,9,M2753,10,Endodontic underfill
M2753,10,M2753,10,Endodontic underfill
62130,9,N8500,10,"Endometrial hyperplasia, unspecified"
N8500,10,N8500,10,"Endometrial hyperplasia, unspecified"
62135,9,N8502,10,Endometrial intraepithelial neoplasia [EIN]
N8502,10,N8502,10,Endometrial intraepithelial neoplasia [EIN]
N80B,10,N80B,10,Endometriosis of cardiothoracic space
N80B6,10,N80B,10,Endometriosis of cardiothoracic space
6172,9,N802,10,Endometriosis of fallopian tube
N802,10,N802,10,Endometriosis of fallopian tube
6175,9,N805,10,Endometriosis of intestine
N805,10,N805,10,Endometriosis of intestine
6171,9,N801,10,Endometriosis of ovary
N801,10,N801,10,Endometriosis of ovary
6173,9,N803,10,Endometriosis of pelvic peritoneum
N803,10,N803,10,Endometriosis of pelvic peritoneum
6174,9,N804,10,Endometriosis of rectovaginal septum and vagina
N804,10,N804,10,Endometriosis of rectovaginal septum and vagina
6170,9,N800,10,Endometriosis of uterus
N800,10,N800,10,Endometriosis of uterus
37157,9,H1851,10,Endothelial corneal dystrophy
H1851,10,H1851,10,Endothelial corneal dystrophy
E8763,9,Y653,10,Endotracheal tube wrongly placed during anesthetic procedure
Y653,10,Y653,10,Endotracheal tube wrongly placed during anesthetic procedure
37646,9,H0534,10,Enlargement of orbit
H0534,10,H0534,10,Enlargement of orbit
37651,9,H0541,10,Enophthalmos due to atrophy of orbital tissue
H0541,10,H0541,10,Enophthalmos due to atrophy of orbital tissue
37652,9,H0542,10,Enophthalmos due to trauma or surgery
H0542,10,H0542,10,Enophthalmos due to trauma or surgery
1274,9,B80,10,Enterobiasis
B80,10,B80,10,Enterobiasis
M07,10,M07,10,Enteropathic arthropathies
M076,10,M07,10,Enteropathic arthropathies
2883,9,D721,10,Eosinophilia
D721,10,D721,10,Eosinophilia
55842,9,K5282,10,Eosinophilic colitis
K5282,10,K5282,10,Eosinophilic colitis
53013,9,K200,10,Eosinophilic esophagitis
K200,10,K200,10,Eosinophilic esophagitis
07881,9,A881,10,Epidemic vertigo
A881,10,A881,10,Epidemic vertigo
S064,10,S064,10,Epidural hemorrhage
S064X,10,S064,10,Epidural hemorrhage
37521,9,H0421,10,Epiphora due to excess lacrimation
H0421,10,H0421,10,Epiphora due to excess lacrimation
37522,9,H0422,10,Epiphora due to insufficient drainage
H0422,10,H0422,10,Epiphora due to insufficient drainage
37901,9,H1511,10,Episcleritis periodica fugax
H1511,10,H1511,10,Episcleritis periodica fugax
33901,9,G4401,10,Episodic cluster headache
G4401,10,G4401,10,Episodic cluster headache
33903,9,G4403,10,Episodic paroxysmal hemicrania
G4403,10,G4403,10,Episodic paroxysmal hemicrania
75262,9,Q640,10,Epispadias
Q640,10,Q640,10,Epispadias
7847,9,R040,10,Epistaxis
R040,10,R040,10,Epistaxis
37913,9,H1581,10,Equatorial staphyloma
H1581,10,H1581,10,Equatorial staphyloma
035,9,A46,10,Erysipelas
A46,10,A46,10,Erysipelas
6951,9,L51,10,Erythema multiforme
L51,10,L51,10,Erythema multiforme
69510,9,L519,10,"Erythema multiforme, unspecified"
L519,10,L519,10,"Erythema multiforme, unspecified"
6952,9,L52,10,Erythema nodosum
L52,10,L52,10,Erythema nodosum
44382,9,I7381,10,Erythromelalgia
I7381,10,I7381,10,Erythromelalgia
I85,10,I85,10,Esophageal varices
I850,10,I85,10,Esophageal varices
4560,9,I8501,10,Esophageal varices with bleeding
I8501,10,I8501,10,Esophageal varices with bleeding
53010,9,K209,10,"Esophagitis, unspecified"
K209,10,K209,10,"Esophagitis, unspecified"
37841,9,H5051,10,Esophoria
H5051,10,H5051,10,Esophoria
V861,9,Z171,10,Estrogen receptor negative status [ER-]
Z171,10,Z171,10,Estrogen receptor negative status [ER-]
V860,9,Z170,10,Estrogen receptor positive status [ER+]
Z170,10,Z170,10,Estrogen receptor positive status [ER+]
37551,9,H0452,10,Eversion of lacrimal punctum
H0452,10,H0452,10,Eversion of lacrimal punctum
78092,9,R6811,10,Excessive crying of infant (baby)
R6811,10,R6811,10,Excessive crying of infant (baby)
52426,9,M2623,10,Excessive horizontal overlap
M2623,10,M2623,10,Excessive horizontal overlap
52872,9,K1323,10,Excessive keratinized residual ridge mucosa
K1323,10,K1323,10,Excessive keratinized residual ridge mucosa
52407,9,M2607,10,Excessive tuberosity of jaw
M2607,10,M2607,10,Excessive tuberosity of jaw
V6541,9,Z7182,10,Exercise counseling
Z7182,10,Z7182,10,Exercise counseling
49381,9,J45990,10,Exercise induced bronchospasm
J45990,10,J45990,10,Exercise induced bronchospasm
69551,9,L491,10,Exfoliation due to erythematous condition involving 10-19 percent of body surface
L491,10,L491,10,Exfoliation due to erythematous condition involving 10-19 percent of body surface
69552,9,L492,10,Exfoliation due to erythematous condition involving 20-29 percent of body surface
L492,10,L492,10,Exfoliation due to erythematous condition involving 20-29 percent of body surface
69553,9,L493,10,Exfoliation due to erythematous condition involving 30-39 percent of body surface
L493,10,L493,10,Exfoliation due to erythematous condition involving 30-39 percent of body surface
69554,9,L494,10,Exfoliation due to erythematous condition involving 40-49 percent of body surface
L494,10,L494,10,Exfoliation due to erythematous condition involving 40-49 percent of body surface
69555,9,L495,10,Exfoliation due to erythematous condition involving 50-59 percent of body surface
L495,10,L495,10,Exfoliation due to erythematous condition involving 50-59 percent of body surface
69556,9,L496,10,Exfoliation due to erythematous condition involving 60-69 percent of body surface
L496,10,L496,10,Exfoliation due to erythematous condition involving 60-69 percent of body surface
69557,9,L497,10,Exfoliation due to erythematous condition involving 70-79 percent of body surface
L497,10,L497,10,Exfoliation due to erythematous condition involving 70-79 percent of body surface
69558,9,L498,10,Exfoliation due to erythematous condition involving 80-89 percent of body surface
L498,10,L498,10,Exfoliation due to erythematous condition involving 80-89 percent of body surface
69550,9,L490,10,Exfoliation due to erythematous condition involving less than 10 percent of body surface
L490,10,L490,10,Exfoliation due to erythematous condition involving less than 10 percent of body surface
5250,9,K080,10,Exfoliation of teeth due to systemic causes
K080,10,K080,10,Exfoliation of teeth due to systemic causes
9945,9,T733,10,Exhaustion due to excessive exertion
T733,10,T733,10,Exhaustion due to excessive exertion
9944,9,T732,10,Exhaustion due to exposure
T732,10,T732,10,Exhaustion due to exposure
3024,9,F652,10,Exhibitionism
F652,10,F652,10,Exhibitionism
37842,9,H5052,10,Exophoria
H5052,10,H5052,10,Exophoria
37642,9,H0535,10,Exostosis of orbit
H0535,10,H0535,10,Exostosis of orbit
37034,9,H1621,10,Exposure keratoconjunctivitis
H1621,10,H1621,10,Exposure keratoconjunctivitis
E9281,9,W42,10,Exposure to noise
W42,10,W42,10,Exposure to noise
W49,10,W49,10,Exposure to other inanimate mechanical forces
W499,10,W49,10,Exposure to other inanimate mechanical forces
W90,10,W90,10,Exposure to other nonionizing radiation
W908,10,W90,10,Exposure to other nonionizing radiation
X08,10,X08,10,"Exposure to other specified smoke, fire and flames"
X088,10,X08,10,"Exposure to other specified smoke, fire and flames"
E9265,9,W881,10,Exposure to radioactive isotopes
W881,10,W881,10,Exposure to radioactive isotopes
31531,9,F801,10,Expressive language disorder
F801,10,F801,10,Expressive language disorder
36362,9,H3131,10,Expulsive choroidal hemorrhage
H3131,10,H3131,10,Expulsive choroidal hemorrhage
7535,9,Q641,10,Exstrophy of urinary bladder
Q641,10,Q641,10,Exstrophy of urinary bladder
60821,9,N4401,10,Extravaginal torsion of spermatic cord
N4401,10,N4401,10,Extravaginal torsion of spermatic cord
99982,9,T80818,10,Extravasation of other vesicant agent
T80818,10,T80818,10,Extravasation of other vesicant agent
7888,9,R390,10,Extravasation of urine
R390,10,R390,10,Extravasation of urine
38163,9,H6813,10,Extrinsic cartilagenous obstruction of Eustachian tube
H6813,10,H6813,10,Extrinsic cartilagenous obstruction of Eustachian tube
36464,9,H2135,10,Exudative cyst of pars plana
H2135,10,H2135,10,Exudative cyst of pars plana
36462,9,H2131,10,Exudative cysts of iris or anterior chamber
H2131,10,H2131,10,Exudative cysts of iris or anterior chamber
36212,9,H3502,10,Exudative retinopathy
H3502,10,H3502,10,Exudative retinopathy
78194,9,R29810,10,Facial weakness
R29810,10,R29810,10,Facial weakness
99524,9,T8852,10,Failed moderate sedation during procedure
T8852,10,T8852,10,Failed moderate sedation during procedure
E8734,9,Y634,10,Failure in dosage in electroshock or insulin-shock therapy
Y634,10,Y634,10,Failure in dosage in electroshock or insulin-shock therapy
E8724,9,Y624,10,Failure of sterile precautions during endoscopic examination
Y624,10,Y624,10,Failure of sterile precautions during endoscopic examination
E8726,9,Y625,10,Failure of sterile precautions during heart catheterization
Y625,10,Y625,10,Failure of sterile precautions during heart catheterization
E8721,9,Y621,10,Failure of sterile precautions during infusion or transfusion
Y621,10,Y621,10,Failure of sterile precautions during infusion or transfusion
E8722,9,Y622,10,Failure of sterile precautions during kidney dialysis and other perfusion
Y622,10,Y622,10,Failure of sterile precautions during kidney dialysis and other perfusion
E8720,9,Y620,10,Failure of sterile precautions during surgical operation
Y620,10,Y620,10,Failure of sterile precautions during surgical operation
E8764,9,Y654,10,Failure to introduce or to remove other tube or instrument
Y654,10,Y654,10,Failure to introduce or to remove other tube or instrument
77934,9,P926,10,Failure to thrive in newborn
P926,10,P926,10,Failure to thrive in newborn
E8852,9,V00131,10,Fall from skateboard
V00131,10,V00131,10,Fall from skateboard
E8854,9,V00311,10,Fall from snowboard
V00311,10,V00311,10,Fall from snowboard
W0119,10,W0119,10,"Fall on same level from slipping, tripping and stumbling with subsequent striking against other object"
W01198,10,W0119,10,"Fall on same level from slipping, tripping and stumbling with subsequent striking against other object"
V177,9,Z8261,10,Family history of arthritis
Z8261,10,Z8261,10,Family history of arthritis
V1851,9,Z8371,10,Family history of colonic polyps
Z8371,10,Z8371,10,Family history of colonic polyps
V197,9,Z843,10,Family history of consanguinity
Z843,10,Z843,10,Family history of consanguinity
V180,9,Z833,10,Family history of diabetes mellitus
Z833,10,Z833,10,Family history of diabetes mellitus
V1911,9,Z83511,10,Family history of glaucoma
Z83511,10,Z83511,10,Family history of glaucoma
V184,9,Z810,10,Family history of intellectual disabilities
Z810,10,Z810,10,Family history of intellectual disabilities
Z824,10,Z824,10,Family history of ischemic heart disease and other diseases of the circulatory system
Z8249,10,Z824,10,Family history of ischemic heart disease and other diseases of the circulatory system
V166,9,Z806,10,Family history of leukemia
Z806,10,Z806,10,Family history of leukemia
V163,9,Z803,10,Family history of malignant neoplasm of breast
Z803,10,Z803,10,Family history of malignant neoplasm of breast
V1651,9,Z8051,10,Family history of malignant neoplasm of kidney
Z8051,10,Z8051,10,Family history of malignant neoplasm of kidney
V1649,9,Z8049,10,Family history of malignant neoplasm of other genital organs
Z8049,10,Z8049,10,Family history of malignant neoplasm of other genital organs
V162,9,Z802,10,Family history of malignant neoplasm of other respiratory and intrathoracic organs
Z802,10,Z802,10,Family history of malignant neoplasm of other respiratory and intrathoracic organs
V1641,9,Z8041,10,Family history of malignant neoplasm of ovary
Z8041,10,Z8041,10,Family history of malignant neoplasm of ovary
V1642,9,Z8042,10,Family history of malignant neoplasm of prostate
Z8042,10,Z8042,10,Family history of malignant neoplasm of prostate
V1643,9,Z8043,10,Family history of malignant neoplasm of testis
Z8043,10,Z8043,10,Family history of malignant neoplasm of testis
V1811,9,Z8341,10,Family history of multiple endocrine neoplasia [MEN] syndrome
Z8341,10,Z8341,10,Family history of multiple endocrine neoplasia [MEN] syndrome
V1781,9,Z8262,10,Family history of osteoporosis
Z8262,10,Z8262,10,Family history of osteoporosis
Z834,10,Z834,10,"Family history of other endocrine, nutritional and metabolic diseases"
Z8349,10,Z834,10,"Family history of other endocrine, nutritional and metabolic diseases"
Z848,10,Z848,10,Family history of other specified conditions
Z8489,10,Z848,10,Family history of other specified conditions
V1919,9,Z83518,10,Family history of other specified eye disorder
Z83518,10,Z83518,10,Family history of other specified eye disorder
V1861,9,Z8271,10,Family history of polycystic kidney
Z8271,10,Z8271,10,Family history of polycystic kidney
1213,9,B663,10,Fascioliasis
B663,10,B663,10,Fascioliasis
1214,9,B665,10,Fasciolopsiasis
B665,10,B665,10,Fasciolopsiasis
6113,9,N641,10,Fat necrosis of breast
N641,10,N641,10,Fat necrosis of breast
04672,9,A8183,10,Fatal familial insomnia
A8183,10,A8183,10,Fatal familial insomnia
78066,9,R5084,10,Febrile nonhemolytic transfusion reaction
R5084,10,R5084,10,Febrile nonhemolytic transfusion reaction
56032,9,K5641,10,Fecal impaction
K5641,10,K5641,10,Fecal impaction
78762,9,R151,10,Fecal smearing
R151,10,R151,10,Fecal smearing
78763,9,R152,10,Fecal urgency
R152,10,R152,10,Fecal urgency
7141,9,M050,10,Felty's syndrome
M050,10,M050,10,Felty's syndrome
62921,9,N90811,10,Female genital mutilation Type I status
N90811,10,N90811,10,Female genital mutilation Type I status
62922,9,N90812,10,Female genital mutilation Type II status
N90812,10,N90812,10,Female genital mutilation Type II status
62923,9,N90813,10,Female genital mutilation Type III status
N90813,10,N90813,10,Female genital mutilation Type III status
62920,9,N90810,10,"Female genital mutilation status, unspecified"
N90810,10,N90810,10,"Female genital mutilation status, unspecified"
30273,9,F5231,10,Female orgasmic disorder
F5231,10,F5231,10,Female orgasmic disorder
30281,9,F650,10,Fetishism
F650,10,F650,10,Fetishism
78061,9,R5081,10,Fever presenting with conditions classified elsewhere
R5081,10,R5081,10,Fever presenting with conditions classified elsewhere
78060,9,R509,10,"Fever, unspecified"
R509,10,R509,10,"Fever, unspecified"
6102,9,N602,10,Fibroadenosis of breast
N602,10,N602,10,Fibroadenosis of breast
6103,9,N603,10,Fibrosclerosis of breast
N603,10,N603,10,Fibrosclerosis of breast
37023,9,H1612,10,Filamentary keratitis
H1612,10,H1612,10,Filamentary keratitis
R787,10,R787,10,Finding of abnormal level of heavy metals in blood
R7879,10,R787,10,Finding of abnormal level of heavy metals in blood
R788,10,R788,10,"Finding of other specified substances, not normally found in blood"
R7889,10,R788,10,"Finding of other specified substances, not normally found in blood"
5764,9,K833,10,Fistula of bile duct
K833,10,K833,10,Fistula of bile duct
5755,9,K823,10,Fistula of gallbladder
K823,10,K823,10,Fistula of gallbladder
5274,9,K114,10,Fistula of salivary gland
K114,10,K114,10,Fistula of salivary gland
8074,9,S225,10,Flail chest
S225,10,S225,10,Flail chest
36481,9,H2181,10,Floppy iris syndrome
H2181,10,H2181,10,Floppy iris syndrome
78452,9,R4782,10,Fluency disorder in conditions classified elsewhere
R4782,10,R4782,10,Fluency disorder in conditions classified elsewhere
78262,9,R232,10,Flushing
R232,10,R232,10,Flushing
H1832,10,H1832,10,Folds in Descemet's membrane
37132,9,H1832,10,Folds in descemet's membrane
6200,9,N830,10,Follicular cyst of ovary
N830,10,N830,10,Follicular cyst of ovary
937,9,T185,10,Foreign body in anus and rectum
T185,10,T185,10,Foreign body in anus and rectum
9301,9,T151,10,Foreign body in conjunctival sac
T151,10,T151,10,Foreign body in conjunctival sac
931,9,T16,10,Foreign body in ear
T16,10,T16,10,Foreign body in ear
9351,9,T181,10,Foreign body in esophagus
T181,10,T181,10,Foreign body in esophagus
9331,9,T173,10,Foreign body in larynx
T173,10,T173,10,Foreign body in larynx
9350,9,T180,10,Foreign body in mouth
T180,10,T180,10,Foreign body in mouth
9393,9,T194,10,Foreign body in penis
T194,10,T194,10,Foreign body in penis
9330,9,T172,10,Foreign body in pharynx
T172,10,T172,10,Foreign body in pharynx
9352,9,T182,10,Foreign body in stomach
T182,10,T182,10,Foreign body in stomach
9340,9,T174,10,Foreign body in trachea
T174,10,T174,10,Foreign body in trachea
9392,9,T192,10,Foreign body in vulva and vagina
T192,10,T192,10,Foreign body in vulva and vagina
37704,9,H4714,10,Foster-Kennedy syndrome
