icd_code,icd_version,long_title
Z4589,10,Encounter for adjustment and management of other implanted devices
Z4828,10,Encounter for aftercare following multiple organ transplant
Z48288,10,Encounter for aftercare following multiple organ transplant
Z4829,10,Encounter for aftercare following other organ transplant
Z48298,10,Encounter for aftercare following other organ transplant
V5811,9,Encounter for antineoplastic chemotherapy
Z5111,10,Encounter for antineoplastic chemotherapy
V581,9,Encounter for antineoplastic chemotherapy and immunotherapy
Z511,10,Encounter for antineoplastic chemotherapy and immunotherapy
V5812,9,Encounter for antineoplastic immunotherapy
Z5112,10,Encounter for antineoplastic immunotherapy
V2681,9,Encounter for assisted reproductive fertility procedure cycle
Z3183,10,Encounter for assisted reproductive fertility procedure cycle
V7286,9,Encounter for blood typing
Z0183,10,Encounter for blood typing
V510,9,Encounter for breast reconstruction following mastectomy
Z421,10,Encounter for breast reconstruction following mastectomy
V5830,9,Encounter for change or removal of nonsurgical wound dressing
Z4800,10,Encounter for change or removal of nonsurgical wound dressing
V5831,9,Encounter for change or removal of surgical wound dressing
Z4801,10,Encounter for change or removal of surgical wound dressing
Z048,10,Encounter for examination and observation for other specified reasons
Z0489,10,Encounter for examination and observation for other specified reasons
V2642,9,Encounter for fertility preservation counseling
Z3162,10,Encounter for fertility preservation counseling
V2682,9,Encounter for fertility preservation procedure
Z3184,10,Encounter for fertility preservation procedure
Z465,10,Encounter for fitting and adjustment of other gastrointestinal appliance and device
Z4659,10,Encounter for fitting and adjustment of other gastrointestinal appliance and device
Z468,10,Encounter for fitting and adjustment of other specified devices
Z4689,10,Encounter for fitting and adjustment of other specified devices
V7212,9,Encounter for hearing conservation and treatment
Z0112,10,Encounter for hearing conservation and treatment
V7211,9,Encounter for hearing examination following failed hearing screening
Z01110,10,Encounter for hearing examination following failed hearing screening
V2511,9,Encounter for insertion of intrauterine contraceptive device
Z30430,10,Encounter for insertion of intrauterine contraceptive device
Z038,10,Encounter for observation for other suspected diseases and conditions ruled out
Z0389,10,Encounter for observation for other suspected diseases and conditions ruled out
Z028,10,Encounter for other administrative examinations
Z0289,10,Encounter for other administrative examinations
Z478,10,Encounter for other orthopedic aftercare
Z4789,10,Encounter for other orthopedic aftercare
Z318,10,Encounter for other procreative management
Z3189,10,Encounter for other procreative management
Z518,10,Encounter for other specified aftercare
Z5189,10,Encounter for other specified aftercare
Z018,10,Encounter for other specified special examinations
Z0189,10,Encounter for other specified special examinations
V667,9,Encounter for palliative care
Z515,10,Encounter for palliative care
V2513,9,Encounter for removal and reinsertion of intrauterine contraceptive device
Z30433,10,Encounter for removal and reinsertion of intrauterine contraceptive device
V5401,9,Encounter for removal of internal fixation device
Z472,10,Encounter for removal of internal fixation device
V2512,9,Encounter for removal of intrauterine contraceptive device
Z30432,10,Encounter for removal of intrauterine contraceptive device
V5832,9,Encounter for removal of sutures
Z4802,10,Encounter for removal of sutures
Z127,10,Encounter for screening for malignant neoplasm of other genitourinary organs
Z1279,10,Encounter for screening for malignant neoplasm of other genitourinary organs
Z128,10,Encounter for screening for malignant neoplasm of other sites
Z1289,10,Encounter for screening for malignant neoplasm of other sites
Z115,10,Encounter for screening for other viral diseases
Z1159,10,Encounter for screening for other viral diseases
6030,9,Encysted hydrocele
N430,10,Encysted hydrocele
5856,9,End stage renal disease
N186,10,End stage renal disease
4253,9,Endocardial fibroelastosis
I424,10,Endocardial fibroelastosis
52662,9,Endodontic overfill
M2752,10,Endodontic overfill
52663,9,Endodontic underfill
M2753,10,Endodontic underfill
62130,9,"Endometrial hyperplasia, unspecified"
N8500,10,"Endometrial hyperplasia, unspecified"
62135,9,Endometrial intraepithelial neoplasia [EIN]
N8502,10,Endometrial intraepithelial neoplasia [EIN]
N80B,10,Endometriosis of cardiothoracic space
N80B6,10,Endometriosis of cardiothoracic space
6172,9,Endometriosis of fallopian tube
N802,10,Endometriosis of fallopian tube
6175,9,Endometriosis of intestine
N805,10,Endometriosis of intestine
6171,9,Endometriosis of ovary
N801,10,Endometriosis of ovary
6173,9,Endometriosis of pelvic peritoneum
N803,10,Endometriosis of pelvic peritoneum
6174,9,Endometriosis of rectovaginal septum and vagina
N804,10,Endometriosis of rectovaginal septum and vagina
6170,9,Endometriosis of uterus
N800,10,Endometriosis of uterus
37157,9,Endothelial corneal dystrophy
H1851,10,Endothelial corneal dystrophy
E8763,9,Endotracheal tube wrongly placed during anesthetic procedure
Y653,10,Endotracheal tube wrongly placed during anesthetic procedure
37646,9,Enlargement of orbit
H0534,10,Enlargement of orbit
37651,9,Enophthalmos due to atrophy of orbital tissue
H0541,10,Enophthalmos due to atrophy of orbital tissue
37652,9,Enophthalmos due to trauma or surgery
H0542,10,Enophthalmos due to trauma or surgery
1274,9,Enterobiasis
B80,10,Enterobiasis
M07,10,Enteropathic arthropathies
M076,10,Enteropathic arthropathies
2883,9,Eosinophilia
D721,10,Eosinophilia
55842,9,Eosinophilic colitis
K5282,10,Eosinophilic colitis
53013,9,Eosinophilic esophagitis
K200,10,Eosinophilic esophagitis
07881,9,Epidemic vertigo
A881,10,Epidemic vertigo
S064,10,Epidural hemorrhage
S064X,10,Epidural hemorrhage
37521,9,Epiphora due to excess lacrimation
H0421,10,Epiphora due to excess lacrimation
37522,9,Epiphora due to insufficient drainage
H0422,10,Epiphora due to insufficient drainage
37901,9,Episcleritis periodica fugax
H1511,10,Episcleritis periodica fugax
33901,9,Episodic cluster headache
G4401,10,Episodic cluster headache
33903,9,Episodic paroxysmal hemicrania
G4403,10,Episodic paroxysmal hemicrania
75262,9,Epispadias
Q640,10,Epispadias
7847,9,Epistaxis
R040,10,Epistaxis
37913,9,Equatorial staphyloma
H1581,10,Equatorial staphyloma
035,9,Erysipelas
A46,10,Erysipelas
6951,9,Erythema multiforme
L51,10,Erythema multiforme
69510,9,"Erythema multiforme, unspecified"
L519,10,"Erythema multiforme, unspecified"
6952,9,Erythema nodosum
L52,10,Erythema nodosum
44382,9,Erythromelalgia
I7381,10,Erythromelalgia
I85,10,Esophageal varices
I850,10,Esophageal varices
4560,9,Esophageal varices with bleeding
I8501,10,Esophageal varices with bleeding
53010,9,"Esophagitis, unspecified"
K209,10,"Esophagitis, unspecified"
37841,9,Esophoria
H5051,10,Esophoria
V861,9,Estrogen receptor negative status [ER-]
Z171,10,Estrogen receptor negative status [ER-]
V860,9,Estrogen receptor positive status [ER+]
Z170,10,Estrogen receptor positive status [ER+]
37551,9,Eversion of lacrimal punctum
H0452,10,Eversion of lacrimal punctum
78092,9,Excessive crying of infant (baby)
R6811,10,Excessive crying of infant (baby)
52426,9,Excessive horizontal overlap
M2623,10,Excessive horizontal overlap
52872,9,Excessive keratinized residual ridge mucosa
K1323,10,Excessive keratinized residual ridge mucosa
52407,9,Excessive tuberosity of jaw
M2607,10,Excessive tuberosity of jaw
V6541,9,Exercise counseling
Z7182,10,Exercise counseling
49381,9,Exercise induced bronchospasm
J45990,10,Exercise induced bronchospasm
69551,9,Exfoliation due to erythematous condition involving 10-19 percent of body surface
L491,10,Exfoliation due to erythematous condition involving 10-19 percent of body surface
69552,9,Exfoliation due to erythematous condition involving 20-29 percent of body surface
L492,10,Exfoliation due to erythematous condition involving 20-29 percent of body surface
69553,9,Exfoliation due to erythematous condition involving 30-39 percent of body surface
L493,10,Exfoliation due to erythematous condition involving 30-39 percent of body surface
69554,9,Exfoliation due to erythematous condition involving 40-49 percent of body surface
L494,10,Exfoliation due to erythematous condition involving 40-49 percent of body surface
69555,9,Exfoliation due to erythematous condition involving 50-59 percent of body surface
L495,10,Exfoliation due to erythematous condition involving 50-59 percent of body surface
69556,9,Exfoliation due to erythematous condition involving 60-69 percent of body surface
L496,10,Exfoliation due to erythematous condition involving 60-69 percent of body surface
69557,9,Exfoliation due to erythematous condition involving 70-79 percent of body surface
L497,10,Exfoliation due to erythematous condition involving 70-79 percent of body surface
69558,9,Exfoliation due to erythematous condition involving 80-89 percent of body surface
L498,10,Exfoliation due to erythematous condition involving 80-89 percent of body surface
69550,9,Exfoliation due to erythematous condition involving less than 10 percent of body surface
L490,10,Exfoliation due to erythematous condition involving less than 10 percent of body surface
5250,9,Exfoliation of teeth due to systemic causes
K080,10,Exfoliation of teeth due to systemic causes
9945,9,Exhaustion due to excessive exertion
T733,10,Exhaustion due to excessive exertion
9944,9,Exhaustion due to exposure
T732,10,Exhaustion due to exposure
3024,9,Exhibitionism
F652,10,Exhibitionism
37842,9,Exophoria
H5052,10,Exophoria
37642,9,Exostosis of orbit
H0535,10,Exostosis of orbit
37034,9,Exposure keratoconjunctivitis
H1621,10,Exposure keratoconjunctivitis
E9281,9,Exposure to noise
W42,10,Exposure to noise
W49,10,Exposure to other inanimate mechanical forces
W499,10,Exposure to other inanimate mechanical forces
W90,10,Exposure to other nonionizing radiation
W908,10,Exposure to other nonionizing radiation
X08,10,"Exposure to other specified smoke, fire and flames"
X088,10,"Exposure to other specified smoke, fire and flames"
E9265,9,Exposure to radioactive isotopes
W881,10,Exposure to radioactive isotopes
31531,9,Expressive language disorder
F801,10,Expressive language disorder
36362,9,Expulsive choroidal hemorrhage
H3131,10,Expulsive choroidal hemorrhage
7535,9,Exstrophy of urinary bladder
Q641,10,Exstrophy of urinary bladder
60821,9,Extravaginal torsion of spermatic cord
N4401,10,Extravaginal torsion of spermatic cord
99982,9,Extravasation of other vesicant agent
T80818,10,Extravasation of other vesicant agent
7888,9,Extravasation of urine
R390,10,Extravasation of urine
38163,9,Extrinsic cartilagenous obstruction of Eustachian tube
H6813,10,Extrinsic cartilagenous obstruction of Eustachian tube
36464,9,Exudative cyst of pars plana
H2135,10,Exudative cyst of pars plana
36462,9,Exudative cysts of iris or anterior chamber
H2131,10,Exudative cysts of iris or anterior chamber
36212,9,Exudative retinopathy
H3502,10,Exudative retinopathy
78194,9,Facial weakness
R29810,10,Facial weakness
99524,9,Failed moderate sedation during procedure
T8852,10,Failed moderate sedation during procedure
E8734,9,Failure in dosage in electroshock or insulin-shock therapy
Y634,10,Failure in dosage in electroshock or insulin-shock therapy
E8724,9,Failure of sterile precautions during endoscopic examination
Y624,10,Failure of sterile precautions during endoscopic examination
E8726,9,Failure of sterile precautions during heart catheterization
Y625,10,Failure of sterile precautions during heart catheterization
E8721,9,Failure of sterile precautions during infusion or transfusion
Y621,10,Failure of sterile precautions during infusion or transfusion
E8722,9,Failure of sterile precautions during kidney dialysis and other perfusion
Y622,10,Failure of sterile precautions during kidney dialysis and other perfusion
E8720,9,Failure of sterile precautions during surgical operation
Y620,10,Failure of sterile precautions during surgical operation
E8764,9,Failure to introduce or to remove other tube or instrument
Y654,10,Failure to introduce or to remove other tube or instrument
77934,9,Failure to thrive in newborn
P926,10,Failure to thrive in newborn
E8852,9,Fall from skateboard
V00131,10,Fall from skateboard
E8854,9,Fall from snowboard
V00311,10,Fall from snowboard
W0119,10,"Fall on same level from slipping, tripping and stumbling with subsequent striking against other object"
W01198,10,"Fall on same level from slipping, tripping and stumbling with subsequent striking against other object"
V177,9,Family history of arthritis
Z8261,10,Family history of arthritis
V1851,9,Family history of colonic polyps
Z8371,10,Family history of colonic polyps
V197,9,Family history of consanguinity
Z843,10,Family history of consanguinity
V180,9,Family history of diabetes mellitus
Z833,10,Family history of diabetes mellitus
V1911,9,Family history of glaucoma
Z83511,10,Family history of glaucoma
V184,9,Family history of intellectual disabilities
Z810,10,Family history of intellectual disabilities
Z824,10,Family history of ischemic heart disease and other diseases of the circulatory system
Z8249,10,Family history of ischemic heart disease and other diseases of the circulatory system
V166,9,Family history of leukemia
Z806,10,Family history of leukemia
V163,9,Family history of malignant neoplasm of breast
Z803,10,Family history of malignant neoplasm of breast
V1651,9,Family history of malignant neoplasm of kidney
Z8051,10,Family history of malignant neoplasm of kidney
V1649,9,Family history of malignant neoplasm of other genital organs
Z8049,10,Family history of malignant neoplasm of other genital organs
V162,9,Family history of malignant neoplasm of other respiratory and intrathoracic organs
Z802,10,Family history of malignant neoplasm of other respiratory and intrathoracic organs
V1641,9,Family history of malignant neoplasm of ovary
Z8041,10,Family history of malignant neoplasm of ovary
V1642,9,Family history of malignant neoplasm of prostate
Z8042,10,Family history of malignant neoplasm of prostate
V1643,9,Family history of malignant neoplasm of testis
Z8043,10,Family history of malignant neoplasm of testis
V1811,9,Family history of multiple endocrine neoplasia [MEN] syndrome
Z8341,10,Family history of multiple endocrine neoplasia [MEN] syndrome
V1781,9,Family history of osteoporosis
Z8262,10,Family history of osteoporosis
Z834,10,"Family history of other endocrine, nutritional and metabolic diseases"
Z8349,10,"Family history of other endocrine, nutritional and metabolic diseases"
Z848,10,Family history of other specified conditions
Z8489,10,Family history of other specified conditions
V1919,9,Family history of other specified eye disorder
Z83518,10,Family history of other specified eye disorder
V1861,9,Family history of polycystic kidney
Z8271,10,Family history of polycystic kidney
1213,9,Fascioliasis
B663,10,Fascioliasis
1214,9,Fasciolopsiasis
B665,10,Fasciolopsiasis
6113,9,Fat necrosis of breast
N641,10,Fat necrosis of breast
04672,9,Fatal familial insomnia
A8183,10,Fatal familial insomnia
78066,9,Febrile nonhemolytic transfusion reaction
R5084,10,Febrile nonhemolytic transfusion reaction
56032,9,Fecal impaction
K5641,10,Fecal impaction
78762,9,Fecal smearing
R151,10,Fecal smearing
78763,9,Fecal urgency
R152,10,Fecal urgency
7141,9,Felty's syndrome
M050,10,Felty's syndrome
62921,9,Female genital mutilation Type I status
N90811,10,Female genital mutilation Type I status
62922,9,Female genital mutilation Type II status
N90812,10,Female genital mutilation Type II status
62923,9,Female genital mutilation Type III status
N90813,10,Female genital mutilation Type III status
62920,9,"Female genital mutilation status, unspecified"
N90810,10,"Female genital mutilation status, unspecified"
30273,9,Female orgasmic disorder
F5231,10,Female orgasmic disorder
30281,9,Fetishism
F650,10,Fetishism
78061,9,Fever presenting with conditions classified elsewhere
R5081,10,Fever presenting with conditions classified elsewhere
78060,9,"Fever, unspecified"
R509,10,"Fever, unspecified"
6102,9,Fibroadenosis of breast
N602,10,Fibroadenosis of breast
6103,9,Fibrosclerosis of breast
N603,10,Fibrosclerosis of breast
37023,9,Filamentary keratitis
H1612,10,Filamentary keratitis
R787,10,Finding of abnormal level of heavy metals in blood
R7879,10,Finding of abnormal level of heavy metals in blood
R788,10,"Finding of other specified substances, not normally found in blood"
R7889,10,"Finding of other specified substances, not normally found in blood"
5764,9,Fistula of bile duct
K833,10,Fistula of bile duct
5755,9,Fistula of gallbladder
K823,10,Fistula of gallbladder
5274,9,Fistula of salivary gland
K114,10,Fistula of salivary gland
8074,9,Flail chest
S225,10,Flail chest
36481,9,Floppy iris syndrome
H2181,10,Floppy iris syndrome
78452,9,Fluency disorder in conditions classified elsewhere
R4782,10,Fluency disorder in conditions classified elsewhere
78262,9,Flushing
R232,10,Flushing
H1832,10,Folds in Descemet's membrane
37132,9,Folds in descemet's membrane
6200,9,Follicular cyst of ovary
N830,10,Follicular cyst of ovary
937,9,Foreign body in anus and rectum
T185,10,Foreign body in anus and rectum
9301,9,Foreign body in conjunctival sac
T151,10,Foreign body in conjunctival sac
931,9,Foreign body in ear
T16,10,Foreign body in ear
9351,9,Foreign body in esophagus
T181,10,Foreign body in esophagus
9331,9,Foreign body in larynx
T173,10,Foreign body in larynx
9350,9,Foreign body in mouth
T180,10,Foreign body in mouth
9393,9,Foreign body in penis
T194,10,Foreign body in penis
9330,9,Foreign body in pharynx
T172,10,Foreign body in pharynx
9352,9,Foreign body in stomach
T182,10,Foreign body in stomach
9340,9,Foreign body in trachea
T174,10,Foreign body in trachea
9392,9,Foreign body in vulva and vagina
T192,10,Foreign body in vulva and vagina
37704,9,Foster-Kennedy syndrome
H4714,10,Foster-Kennedy syndrome
95913,9,Fracture of corpus cavernosum penis
S39840,10,Fracture of corpus cavernosum penis
S0260,10,"Fracture of mandible, unspecified"
S02609,10,"Fracture of mandible, unspecified"
S328,10,Fracture of other parts of pelvis
S3289,10,Fracture of other parts of pelvis
52564,9,Fractured dental restorative material with loss of material
K08531,10,Fractured dental restorative material with loss of material
52563,9,Fractured dental restorative material without loss of material
K08530,10,Fractured dental restorative material without loss of material
79955,9,Frontal lobe and executive function deficit
R41844,10,Frontal lobe and executive function deficit
36421,9,Fuchs' heterochromic cyclitis
H2081,10,Fuchs' heterochromic cyclitis
78760,9,Full incontinence of feces
R159,10,Full incontinence of feces
5645,9,Functional diarrhea
K591,10,Functional diarrhea
2881,9,Functional disorders of polymorphonuclear neutrophils
D71,10,Functional disorders of polymorphonuclear neutrophils
78072,9,Functional quadriplegia
R532,10,Functional quadriplegia
78891,9,Functional urinary incontinence
R3981,10,Functional urinary incontinence
L0282,10,Furuncle of other sites
L02828,10,Furuncle of other sites
36833,9,Fusion with defective stereopsis
H5332,10,Fusion with defective stereopsis
78091,9,Fussy infant (baby)
R6812,10,Fussy infant (baby)
6116,9,Galactorrhea not associated with childbirth
N643,10,Galactorrhea not associated with childbirth
2711,9,Galactosemia
E7421,10,Galactosemia
56031,9,Gallstone ileus
K563,10,Gallstone ileus
V693,9,Gambling and betting
Z726,10,Gambling and betting
1025,9,Gangosa
A665,10,Gangosa
0400,9,Gas gangrene
A480,10,Gas gangrene
5371,9,Gastric diverticulum
K314,10,Gastric diverticulum
5581,9,Gastroenteritis and colitis due to radiation
K520,10,Gastroenteritis and colitis due to radiation
0222,9,Gastrointestinal anthrax
A222,10,Gastrointestinal anthrax
538,9,Gastrointestinal mucositis (ulcerative)
K9281,10,Gastrointestinal mucositis (ulcerative)
5363,9,Gastroparesis
K3184,10,Gastroparesis
75673,9,Gastroschisis
Q793,10,Gastroschisis
53640,9,"Gastrostomy complication, unspecified"
K9420,10,"Gastrostomy complication, unspecified"
V441,9,Gastrostomy status
Z931,10,Gastrostomy status
0941,9,General paresis
A5217,10,General paresis
30002,9,Generalized anxiety disorder
F411,10,Generalized anxiety disorder
7808,9,Generalized hyperhidrosis
R61,10,Generalized hyperhidrosis
2882,9,Genetic anomalies of leukocytes
D720,10,Genetic anomalies of leukocytes
V8401,9,Genetic susceptibility to malignant neoplasm of breast
Z1501,10,Genetic susceptibility to malignant neoplasm of breast
V8404,9,Genetic susceptibility to malignant neoplasm of endometrium
Z1504,10,Genetic susceptibility to malignant neoplasm of endometrium
V8402,9,Genetic susceptibility to malignant neoplasm of ovary
Z1502,10,Genetic susceptibility to malignant neoplasm of ovary
V8403,9,Genetic susceptibility to malignant neoplasm of prostate
Z1503,10,Genetic susceptibility to malignant neoplasm of prostate
V8481,9,Genetic susceptibility to multiple endocrine neoplasia [MEN]
Z1581,10,Genetic susceptibility to multiple endocrine neoplasia [MEN]
V8489,9,Genetic susceptibility to other disease
Z158,10,Genetic susceptibility to other disease
Z1589,10,Genetic susceptibility to other disease
V8409,9,Genetic susceptibility to other malignant neoplasm
Z1509,10,Genetic susceptibility to other malignant neoplasm
3336,9,Genetic torsion dystonia
G241,10,Genetic torsion dystonia
3511,9,Geniculate ganglionitis
G511,10,Geniculate ganglionitis
5291,9,Geographic tongue
K141,10,Geographic tongue
37064,9,Ghost vessels (corneal)
H1641,10,Ghost vessels (corneal)
52325,9,"Gingival recession, generalized"
K0602,10,"Gingival recession, generalized"
52324,9,"Gingival recession, localized"
K0601,10,"Gingival recession, localized"
024,9,Glanders
A240,10,Glanders
36582,9,Glaucoma with increased episcleral venous pressure
H4081,10,Glaucoma with increased episcleral venous pressure
36631,9,Glaucomatous flecks (subcapsular)
H2623,10,Glaucomatous flecks (subcapsular)
5290,9,Glossitis
K140,10,Glossitis
5296,9,Glossodynia
K146,10,Glossodynia
25511,9,Glucocorticoid-remediable aldosteronism
E2602,10,Glucocorticoid-remediable aldosteronism
7915,9,Glycosuria
R81,10,Glycosuria
1281,9,Gnathostomiasis
B831,10,Gnathostomiasis
36473,9,Goniosynechiae
H2152,10,Goniosynechiae
09850,9,Gonococcal arthritis
A5442,10,Gonococcal arthritis
0987,9,Gonococcal infection of anus and rectum
A546,10,Gonococcal infection of anus and rectum
09841,9,Gonococcal iridocyclitis
A5432,10,Gonococcal iridocyclitis
09843,9,Gonococcal keratitis
A5433,10,Gonococcal keratitis
09882,9,Gonococcal meningitis
A5481,10,Gonococcal meningitis
09886,9,Gonococcal peritonitis
A5485,10,Gonococcal peritonitis
2749,9,"Gout, unspecified"
M109,10,"Gout, unspecified"
27950,9,"Graft-versus-host disease, unspecified"
D89813,10,"Graft-versus-host disease, unspecified"
37153,9,Granular corneal dystrophy
H1853,10,Granular corneal dystrophy
0992,9,Granuloma inguinale
A58,10,Granuloma inguinale
37581,9,Granuloma of lacrimal passages
H0481,10,Granuloma of lacrimal passages
59971,9,Gross hematuria
R310,10,Gross hematuria
F1618,10,Hallucinogen abuse with other hallucinogen-induced disorder
F16188,10,Hallucinogen abuse with other hallucinogen-induced disorder
30533,9,"Hallucinogen abuse, in remission"
F1611,10,"Hallucinogen abuse, in remission"
F1628,10,Hallucinogen dependence with other hallucinogen-induced disorder
F16288,10,Hallucinogen dependence with other hallucinogen-induced disorder
30453,9,"Hallucinogen dependence, in remission"
F1621,10,"Hallucinogen dependence, in remission"
7352,9,Hallux rigidus
M202,10,Hallux rigidus
7350,9,Hallux valgus (acquired)
M201,10,Hallux valgus (acquired)
7351,9,Hallux varus (acquired)
M203,10,Hallux varus (acquired)
36322,9,Harada's disease
H3081,10,Harada's disease
28262,9,Hb-SS disease with crisis
D570,10,Hb-SS disease with crisis
7840,9,Headache
R51,10,Headache
33982,9,Headache associated with sexual activity
G4482,10,Headache associated with sexual activity
V650,9,Healthy person accompanying sick person
Z763,10,Healthy person accompanying sick person
4299,9,"Heart disease, unspecified"
I519,10,"Heart disease, unspecified"
4289,9,"Heart failure, unspecified"
I509,10,"Heart failure, unspecified"
7871,9,Heartburn
R12,10,Heartburn
9927,9,Heat edema
T677,10,Heat edema
9924,9,Heat exhaustion due to salt depletion
T674,10,Heat exhaustion due to salt depletion
9923,9,"Heat exhaustion, anhydrotic"
T673,10,"Heat exhaustion, anhydrotic"
9925,9,"Heat exhaustion, unspecified"
T675,10,"Heat exhaustion, unspecified"
9926,9,"Heat fatigue, transient"
T676,10,"Heat fatigue, transient"
9921,9,Heat syncope
T671,10,Heat syncope
T670,10,Heatstroke and sunstroke
T6701,10,Heatstroke and sunstroke
T6701XA,10,"Heatstroke and sunstroke, initial encounter"
T670XXA,10,"Heatstroke and sunstroke, initial encounter"
T6701XS,10,"Heatstroke and sunstroke, sequela"
T670XXS,10,"Heatstroke and sunstroke, sequela"
T6701XD,10,"Heatstroke and sunstroke, subsequent encounter"
T670XXD,10,"Heatstroke and sunstroke, subsequent encounter"
22804,9,Hemangioma of intra-abdominal structures
D1803,10,Hemangioma of intra-abdominal structures
22802,9,Hemangioma of intracranial structures
D1802,10,Hemangioma of intracranial structures
22809,9,Hemangioma of other sites
D1809,10,Hemangioma of other sites
22801,9,Hemangioma of skin and subcutaneous tissue
D1801,10,Hemangioma of skin and subcutaneous tissue
71917,9,"Hemarthrosis, ankle and foot"
M2507,10,"Hemarthrosis, ankle and foot"
71914,9,"Hemarthrosis, hand"
M2504,10,"Hemarthrosis, hand"
5780,9,Hematemesis
K920,10,Hematemesis
6207,9,Hematoma of broad ligament
N837,10,Hematoma of broad ligament
6214,9,Hematometra
N857,10,Hematometra
60882,9,Hematospermia
R361,10,Hematospermia
5997,9,Hematuria
R31,10,Hematuria
59970,9,"Hematuria, unspecified"
R319,10,"Hematuria, unspecified"
33941,9,Hemicrania continua
G4451,10,Hemicrania continua
27502,9,Hemochromatosis due to repeated red blood cell transfusions
E83111,10,Hemochromatosis due to repeated red blood cell transfusions
28247,9,Hemoglobin E-beta thalassemia
D565,10,Hemoglobin E-beta thalassemia
7912,9,Hemoglobinuria
R823,10,Hemoglobinuria
28311,9,Hemolytic-uremic syndrome
D593,10,Hemolytic-uremic syndrome
3200,9,Hemophilus meningitis
G000,10,Hemophilus meningitis
7863,9,Hemoptysis
R042,10,Hemoptysis
R048,10,Hemorrhage from other sites in respiratory passages
R0489,10,Hemorrhage from other sites in respiratory passages
7848,9,Hemorrhage from throat
R041,10,Hemorrhage from throat
36372,9,Hemorrhagic choroidal detachment
H3141,10,Hemorrhagic choroidal detachment
36243,9,Hemorrhagic detachment of retinal pigment epithelium
H3573,10,Hemorrhagic detachment of retinal pigment epithelium
7760,9,Hemorrhagic disease of newborn
P53,10,Hemorrhagic disease of newborn
5722,9,Hepatic encephalopathy
K7682,10,Hepatic encephalopathy
5735,9,Hepatopulmonary syndrome
K7681,10,Hepatopulmonary syndrome
5724,9,Hepatorenal syndrome
K767,10,Hepatorenal syndrome
5205,9,"Hereditary disturbances in tooth structure, not elsewhere classified"
K005,10,"Hereditary disturbances in tooth structure, not elsewhere classified"
2821,9,Hereditary elliptocytosis
D581,10,Hereditary elliptocytosis
2712,9,Hereditary fructose intolerance
E7412,10,Hereditary fructose intolerance
27501,9,Hereditary hemochromatosis
E83110,10,Hereditary hemochromatosis
2829,9,"Hereditary hemolytic anemia, unspecified"
D589,10,"Hereditary hemolytic anemia, unspecified"
4480,9,Hereditary hemorrhagic telangiectasia
I780,10,Hereditary hemorrhagic telangiectasia
37716,9,Hereditary optic atrophy
H4722,10,Hereditary optic atrophy
3341,9,Hereditary spastic paraplegia
G114,10,Hereditary spastic paraplegia
2820,9,Hereditary spherocytosis
D580,10,Hereditary spherocytosis
05474,9,Herpes simplex myelitis
B0082,10,Herpes simplex myelitis
36847,9,Heteronymous bilateral field defects
H5347,10,Heteronymous bilateral field defects
7868,9,Hiccough
R066,10,Hiccough
75265,9,Hidden penis
Q5564,10,Hidden penis
32722,9,High altitude periodic breathing
G4732,10,High altitude periodic breathing
7041,9,Hirsutism
L680,10,Hirsutism
V605,9,Holiday relief care
Z755,10,Holiday relief care
36846,9,Homonymous bilateral field defects
H5346,10,Homonymous bilateral field defects
37311,9,Hordeolum externum
H0001,10,Hordeolum externum
37312,9,Hordeolum internum
H0002,10,Hordeolum internum
36132,9,Horseshoe tear of retina without detachment
H3331,10,Horseshoe tear of retina without detachment
05821,9,Human herpesvirus 6 encephalitis
B1001,10,Human herpesvirus 6 encephalitis
05881,9,Human herpesvirus 6 infection
B1081,10,Human herpesvirus 6 infection
05882,9,Human herpesvirus 7 infection
B1082,10,Human herpesvirus 7 infection
042,9,Human immunodeficiency virus [HIV] disease
B20,10,Human immunodeficiency virus [HIV] disease
2755,9,Hungry bone syndrome
E8381,10,Hungry bone syndrome
E9080,9,Hurricane
X370,10,Hurricane
630,9,Hydatidiform mole
O01,10,Hydatidiform mole
6039,9,"Hydrocele, unspecified"
N433,10,"Hydrocele, unspecified"
74253,9,Hydromyelia
Q064,10,Hydromyelia
7733,9,Hydrops fetalis due to isoimmunization
P560,10,Hydrops fetalis due to isoimmunization
5753,9,Hydrops of gallbladder
K821,10,Hydrops of gallbladder
5935,9,Hydroureter
N134,10,Hydroureter
1236,9,Hymenolepiasis
B710,10,Hymenolepiasis
38842,9,Hyperacusis
H9323,10,Hyperacusis
25510,9,"Hyperaldosteronism, unspecified"
E269,10,"Hyperaldosteronism, unspecified"
27542,9,Hypercalcemia
E8352,10,Hypercalcemia
5215,9,Hypercementosis
K034,10,Hypercementosis
2723,9,Hyperchylomicronemia
E783,10,Hyperchylomicronemia
3670,9,Hypermetropia
H520,10,Hypermetropia
7285,9,Hypermobility syndrome
M357,10,Hypermobility syndrome
78443,9,Hypernasality
R4921,10,Hypernasality
7333,9,Hyperostosis of skull
M852,10,Hyperostosis of skull
25200,9,"Hyperparathyroidism, unspecified"
E213,10,"Hyperparathyroidism, unspecified"
36581,9,Hypersecretion glaucoma
H4082,10,Hypersecretion glaucoma
78054,9,"Hypersomnia, unspecified"
G4710,10,"Hypersomnia, unspecified"
2894,9,Hypersplenism
D731,10,Hypersplenism
4372,9,Hypertensive encephalopathy
