icd_full,hadm_freq
10-S61451A,53
9-29622,53
10-K8032,53
9-4272,53
10-B998,53
10-Z8554,53
10-D5701,53
9-05479,53
10-R480,53
9-71597,53
9-V555,53
10-D481,53
10-E10622,53
10-T8203XA,53
10-I288,53
9-73341,53
10-G259,53
10-R141,53
10-O99011,53
10-F88,53
10-Z0389,53
9-66624,53
9-7131,53
10-K6811,53
10-D692,53
10-I82443,53
9-44771,53
9-38619,53
9-67434,53
10-M4856XD,53
9-9552,53
9-1175,53
10-M50023,53
9-64123,53
10-L111,53
10-T462X5S,53
10-R442,53
9-99647,53
10-D151,53
10-Q438,53
9-43300,53
10-C50812,53
9-470,53
10-T83091A,53
10-L0390,53
10-I1311,53
10-B2790,53
10-K55029,53
10-I973,53
10-S36032A,53
10-T461X6A,53
10-E569,53
9-64101,52
9-E0000,52
10-Y92214,52
10-M00062,52
9-60090,52
10-S81011A,52
9-79399,52
9-V1869,52
10-O34212,52
9-41012,52
9-37956,52
10-Q8789,52
10-Z331,52
9-3158,52
9-1330,52
10-T82818A,52
10-S061X0A,52
9-6924,52
10-B1710,52
10-R479,52
9-E9502,52
9-65451,52
10-C37,52
9-2397,52
9-99668,52
9-1361,52
9-78832,52
9-30014,52
9-E9346,52
10-Q048,52
10-A7749,52
10-J700,52
9-43853,52
9-57460,52
10-R29719,52
10-T86891,52
9-3368,52
10-O7582,52
10-D171,52
9-42689,52
10-C9150,52
10-K2900,52
10-I8312,52
9-25202,52
10-F450,52
10-F3164,52
10-H35039,52
10-T43015A,52
9-64863,52
10-M25061,52
10-I82501,52
10-M84551A,52
10-L97811,52
9-5192,52
9-46400,52
9-E9344,52
10-K2289,52
10-I510,52
10-T8463XA,52
9-5565,52
9-1532,51
10-Z4509,51
10-L97411,51
10-Z9841,51
10-T83028A,51
10-F1014,51
9-2798,51
10-D841,51
10-H9312,51
9-07022,51
10-M5124,51
10-I7777,51
10-J028,51
10-I69992,51
10-M4692,51
10-T80818A,51
10-O4693,51
10-F515,51
9-30189,51
9-61171,51
9-4610,51
9-04105,51
9-8700,51
9-86389,51
10-F10232,51
10-D531,51
10-G622,51
9-01190,51
9-5539,51
10-I69318,51
9-V1365,51
10-T41205A,51
10-L89893,51
10-I5040,51
9-4801,51
9-1552,51
9-80221,51
10-S060X0A,51
10-W3189XA,51
9-6235,51
10-S22078A,51
9-485,51
9-03844,51
9-4421,51
10-T82848A,51
9-80225,51
10-Q969,51
10-K068,51
9-73381,51
9-V6107,50
10-C4022,50
9-36207,50
10-I63422,50
10-S42102A,50
10-R7301,50
10-S2249XA,50
10-T148XXS,50
9-6185,50
10-S12590A,50
9-71698,50
9-71650,50
9-V4551,50
10-M898X8,50
10-S41112A,50
9-E9430,50
9-68101,50
9-25020,50
10-S40212A,50
9-36252,50
10-K5652,50
9-66031,50
10-M19031,50
10-Z6721,50
10-D181,50
9-4290,50
10-M532X6,50
9-30473,50
10-I823,50
9-5081,50
10-R031,50
10-D759,50
9-30723,50
10-C519,50
10-G801,50
9-8360,50
10-I6930,50
10-Z85821,50
9-7282,50
9-3393,50
10-T148,50
10-I82290,50
10-S02402A,50
10-A020,50
10-S72112A,50
9-2127,50
10-I69312,50
9-61189,50
10-M7061,50
10-O98513,50
9-E9401,50
9-65671,50
10-K229,50
10-K260,50
10-R402353,50
9-V271,50
10-T43226A,50
9-30015,50
10-H468,50
10-J679,50
10-I50814,50
9-V070,49
10-D134,49
10-M50322,49
10-S71111A,49
9-34620,49
10-Q445,49
10-I721,49
10-Z3A08,49
10-I69298,49
10-C5700,49
9-3180,49
9-7587,49
9-6279,49
10-T8389XA,49
10-S32402A,49
9-37273,49
10-S93402A,49
10-T82598A,49
10-Z9842,49
10-T45526A,49
9-2141,49
10-L723,49
10-M80052A,49
9-6218,49
10-M79675,49
10-D72825,49
10-M8618,49
10-T43595S,49
9-7811,49
10-K833,49
10-S40011A,49
10-N8502,49
9-64323,49
10-K8062,49
10-I4519,49
10-I6503,49
9-20285,49
9-V1049,49
10-C7952,49
9-V143,49
9-V1589,49
10-C4359,49
9-78059,49
9-734,49
10-L600,49
9-V0950,49
10-L97426,49
9-71509,49
10-A049,49
9-V4985,49
9-1726,49
9-37200,49
10-C8591,49
9-43301,49
10-M4805,49
10-H524,49
10-L738,49
9-53200,49
10-I6319,49
10-K7400,49
10-T50B95A,49
9-5080,49
10-Z22321,49
10-N644,49
10-Z01810,49
10-K5700,49
9-3551,49
9-2599,49
10-T8384XA,49
10-S30811A,49
10-S8261XA,49
9-37921,49
10-R6511,49
9-65443,48
10-H933X9,48
9-44281,48
9-61889,48
9-33372,48
9-20380,48
10-S72351A,48
10-G9751,48
9-68111,48
10-C482,48
10-I772,48
10-T43025A,48
9-7286,48
10-H6690,48
9-2913,48
10-R768,48
10-R636,48
10-C8300,48
10-J4521,48
9-3432,48
9-47824,48
10-T50915A,48
10-H5704,48
10-F6381,48
9-57480,48
10-Y048XXA,48
10-M47817,48
10-J219,48
10-I602,48
10-S8262XA,48
9-5122,48
10-Z9489,48
10-G5620,48
9-V1084,48
10-E2609,48
10-E7211,48
9-1573,48
10-G231,48
9-99657,48
10-O021,48
9-08882,48
9-72142,48
9-42099,48
10-O4403,48
10-W001XXA,48
10-J9311,48
9-9273,48
9-75617,48
9-4554,48
9-E9364,48
9-0463,48
10-C154,48
10-S02412A,48
10-I82C21,48
10-I453,48
10-J9851,48
10-M79622,48
9-E9650,48
10-M3489,48
9-37630,48
10-R638,48
10-M3131,48
10-B169,48
10-L03319,48
9-5298,48
10-O211,48
9-85182,48
9-V510,48
10-T454X5A,47
9-E8706,47
9-65231,47
10-Z978,47
10-S32048A,47
10-H578,47
9-86602,47
10-C227,47
10-G4701,47
9-V6542,47
10-Y900,47
9-35921,47
10-S52612A,47
10-T82538A,47
10-G4720,47
10-S12190A,47
9-7246,47
9-83104,47
9-V412,47
10-K5733,47
10-T451X6A,47
9-67524,47
9-2870,47
10-T82190A,47
9-5831,47
10-I21A9,47
9-66942,47
10-M19032,47
9-E8192,47
10-R29723,47
10-F04,47
10-H3411,47
10-S40811A,47
10-R29720,47
10-G379,47
9-53150,47
9-71103,47
9-82002,47
9-7015,47
9-9651,47
9-6264,47
10-C099,47
9-5118,47
10-Y92017,47
10-K8592,47
9-81354,47
10-S52121A,47
9-V1061,47
9-V4981,47
10-E160,47
9-53084,47
9-V2349,47
9-4440,47
9-34281,47
10-T82594A,47
9-2911,47
9-99527,47
9-81322,47
10-T500X6A,47
10-H9201,47
9-34581,47
9-5764,47
9-66061,47
9-V2341,46
9-1716,46
9-5719,46
9-9239,46
10-N979,46
10-T404X1A,46
9-6829,46
10-S161XXA,46
10-S72301A,46
9-6923,46
10-G6281,46
10-I69341,46
10-C49A3,46
10-T86890,46
10-S42252A,46
9-64621,46
10-G950,46
9-5290,46
10-L89224,46
9-78602,46
9-37924,46
9-5309,46
9-1619,46
10-R091,46
10-C480,46
10-D72820,46
10-S42021A,46
10-D731,46
9-64111,46
10-T8242XA,46
10-Z5332,46
10-T82528A,46
10-F900,46
10-Y92828,46
10-O1413,46
10-Y0889XA,46
9-86401,46
9-7068,46
9-8920,46
10-I151,46
10-I616,46
9-5952,46
9-85306,46
10-S72111A,46
10-G44229,46
9-E9303,46
10-K718,46
10-S01312A,46
9-53531,46
10-K7041,46
10-L89612,46
10-C329,46
9-2357,46
9-9679,46
10-O80,46
9-86229,46
10-Z4801,46
10-I059,46
9-73741,46
10-T79A21A,46
9-84509,46
10-L52,46
10-S12690A,46
10-I70248,46
10-I70238,46
10-A86,46
9-3080,46
10-I82721,45
9-4560,45
9-684,45
10-Q278,45
10-S72302A,45
10-A045,45
10-T398X5A,45
10-H6123,45
10-K041,45
10-I97121,45
10-S2242XD,45
10-N650,45
9-64933,45
10-D733,45
10-M13861,45
10-B967,45
10-M4642,45
10-I8311,45
10-S82452A,45
10-O9973,45
10-I82811,45
9-1530,45
9-27482,45
10-I371,45
10-T490X5A,45
10-M314,45
9-7901,45
9-9556,45
9-2561,45
9-53909,45
9-E9457,45
10-E7522,45
10-D3610,45
10-G8912,45
9-88122,45
10-O30033,45
9-4420,45
9-43850,45
9-78002,45
9-78099,45
9-80102,45
10-M79A21,45
9-65973,45
9-1769,45
9-E9347,45
10-R1115,45
10-N99521,45
9-1742,45
9-5269,45
10-T85858A,45
9-78891,45
10-T8642,45
9-44032,45
9-0312,45
10-C50111,45
10-T43621A,45
9-E9173,45
10-K91871,45
10-T1491,45
10-S06359A,45
9-8407,45
9-30989,45
10-N99528,45
9-3789,45
10-O99113,45
9-7296,45
10-S02113A,45
10-O9882,45
9-4480,45
9-72789,45
9-0059,45
9-3064,45
10-L2489,45
10-S00212A,45
9-64664,45
10-L7621,45
10-F5081,45
10-O99413,45
10-E1039,45
10-F918,45
10-I8310,45
10-Z814,45
10-K5281,45
10-D72821,45
10-Z85840,45
9-3209,45
10-K115,45
9-81502,45
10-G800,45
10-B004,45
9-6851,45
9-V626,45
9-7177,45
9-9957,45
10-Z9849,45
10-O720,45
10-H01003,44
9-E9304,44
9-1723,44
10-F2089,44
9-71907,44
9-8792,44
9-V2652,44
10-W881XXS,44
10-O364XX0,44
10-S92352A,44
9-E8880,44
9-4294,44
9-5111,44
9-V1053,44
9-V138,44
10-J154,44
9-25542,44
9-86601,44
9-69282,44
9-7916,44
10-Z205,44
9-47875,44
9-7937,44
10-Y92169,44
10-T371X5A,44
10-C8298,44
10-S12501A,44
10-E1365,44
10-S2241XD,44
9-00843,44
10-Q0700,44
10-O99215,44
9-27501,44
10-S42302A,44
9-64113,44
9-85302,44
9-95208,44
10-O6012X0,44
9-8822,44
10-S5002XA,44
9-2893,44
9-8088,44
9-65613,44
9-51284,44
10-W25XXXA,44
10-F14929,44
10-S92351A,44
9-5642,44
10-E0922,44
10-C760,44
9-73689,44
9-7891,44
10-E113293,44
10-M25472,44
9-78704,44
9-47879,44
9-1760,44
10-H349,44
9-80021,44
10-N08,44
10-M79674,44
10-S06349A,43
10-Z3A21,43
10-F1094,43
9-7469,43
9-7510,43
9-99656,43
9-V8409,43
10-Z8349,43
10-T83092A,43
9-1231,43
10-H3552,43
10-C92Z1,43
10-N493,43
10-S72492A,43
9-6178,43
10-C674,43
10-S52022A,43
9-27953,43
10-S82301A,43
9-7041,43
10-J121,43
10-K630,43
10-C495,43
9-5994,43
9-5304,43
10-Z3A18,43
9-29289,43
10-Z6379,43
10-S42251A,43
10-E881,43
10-J1108,43
9-9713,43
10-Q615,43
9-80026,43
10-E896,43
10-O99281,43
9-41051,43
10-E272,43
10-M061,43
10-Q8901,43
9-29660,43
9-8509,43
9-32381,43
10-Z9350,43
10-L408,43
10-H918X3,43
10-E83118,43
10-M3481,43
9-E959,43
10-D471,43
10-L258,43
10-W010XXD,43
9-E8528,43
9-05379,43
10-L89623,43
10-L910,43
10-F17213,43
9-66551,43
9-E8542,43
10-N921,43
9-2788,43
9-V162,43
9-79094,43
9-47825,43
9-9984,43
9-72660,43
9-1410,43
9-683,43
10-W881XXA,43
10-K4031,43
9-8930,43
10-K911,43
10-O1403,43
10-D8481,43
10-T85868A,43
10-M532X2,43
10-C52,42
10-M13862,42
9-37313,42
10-F12959,42
10-N472,42
10-S8252XA,42
10-M80051A,42
10-F6081,42
10-D8685,42
9-74761,42
9-V4587,42
9-62210,42
10-I339,42
10-S065X0D,42
9-7961,42
10-I2541,42
10-F19939,42
10-I726,42
10-O30042,42
10-S52611A,42
10-R29722,42
10-H01006,42
9-3550,42
10-D175,42
9-72290,42
10-L89326,42
10-R198,42
9-37992,42
10-J45991,42
10-K0510,42
9-V6289,42
9-4738,42
10-S40211A,42
9-37810,42
10-G8192,42
10-Z3A16,42
9-9061,42
9-9553,42
9-1124,42
9-64193,42
10-T447X1A,42
9-81612,42
10-F15929,42
10-D611,42
9-9592,42
10-M352,42
10-M1731,42
9-E9438,42
10-L239,42
9-V1059,42
10-O753,42
10-Z591,42
9-81103,42
10-L89329,42
10-M25062,42
9-53170,42
9-88003,42
10-K8511,42
9-38918,42
10-I8393,42
9-9729,42
10-F444,42
9-37943,42
9-E8210,42
10-S1191XA,42
9-52181,42
10-T85618A,42
9-4178,42
10-N051,42
10-K812,42
10-Q433,42
10-M8448XD,42
9-3341,42
9-29580,42
10-N19,42
10-T84623A,42
9-20051,42
9-86502,42
9-6140,41
10-O98313,41
10-M5020,41
10-M4803,41
10-C029,41
9-64191,41
10-T375X6A,41
10-E103299,41
10-O902,41
10-G9761,41
10-N3944,41
9-V118,41
10-K9041,41
9-28730,41
9-7964,41
9-7942,41
10-S069X0A,41
9-37775,41
9-38589,41
10-S12601A,41
10-I236,41
10-K35891,41
10-I70268,41
9-1844,41
9-7969,41
10-B0221,41
10-W3400XS,41
9-33920,41
9-60499,41
10-H353190,41
9-2682,41
10-T466X6A,41
10-S82302A,41
10-M3390,41
10-K6381,41
9-51636,41
9-1808,41
10-E6609,41
10-T424X6A,41
9-V6141,41
9-3207,41
10-V0920XA,41
10-T7621XA,41
10-F1221,41
10-I2121,41
10-K8021,41
9-E9248,41
9-42971,41
10-T84031A,41
10-J0100,41
10-S81801A,41
10-S06340A,41
10-S5001XA,41
10-T79A22A,41
10-O2623,41
9-79009,41
10-V00131A,41
10-C07,41
9-65223,41
10-I7090,41
9-65641,41
9-6390,41
10-M96831,41
10-O113,41
10-O640XX0,41
10-G4739,41
10-G5710,41
10-K910,41
10-S52021A,41
10-Z8672,41
9-37739,41
10-R194,41
10-L89622,41
10-V499XXS,41
9-4281,41
10-C109,41
10-K088,41
9-9219,41
10-Z3A17,40
9-20973,40
10-S82402A,40
10-R402133,40
10-Q7649,40
9-V501,40
10-Y93E1,40
10-R229,40
9-99791,40
10-Z72820,40
9-6868,40
10-Z87892,40
9-2699,40
9-33391,40
10-S72451A,40
9-9032,40
10-O368330,40
10-V4949XA,40
10-N3081,40
9-9172,40
10-N412,40
9-75739,40
9-80605,40
10-O24414,40
9-5173,40
10-L987,40
9-56781,40
10-O99332,40
9-05419,40
10-I97610,40
10-N9961,40
9-9583,40
9-35922,40
9-20260,40
9-73719,40
10-I348,40
10-F4324,40
9-92303,40
10-S06350A,40
10-M00051,40
9-80228,40
9-V1329,40
9-V6149,40
9-700,40
10-M4727,40
9-7218,40
10-I63421,40
10-R402232,40
10-Z3A10,40
10-M1389,40
10-Z630,40
9-85225,40
9-9033,40
10-R81,40
10-O219,40
10-Z8709,40
10-Q251,40
9-64291,40
9-E9291,40
9-81343,40
9-2254,40
10-D580,40
10-C8319,40
10-O24410,40
10-J9502,40
10-L02411,40
10-K255,40
10-M0800,40
10-V099XXA,40
10-Y93H3,40
10-F8189,40
10-F4010,40
9-4409,40
10-K713,40
9-7859,40
9-37239,40
10-M1129,40
10-N481,40
10-Z8522,40
10-B1921,40
10-S02621A,40
10-K9131,40
10-S0191XA,40
10-O09293,40
10-S12120A,40
10-Z8559,40
10-V80010A,40
10-W268XXA,40
9-7934,40
10-S064X0A,40
10-N508,40
10-T82868D,40
10-C802,40
10-O99355,40
10-B178,40
10-M25761,40
10-H4311,39
10-L231,39
10-I82531,39
10-M719,39
10-S82401A,39
9-1724,39
10-N5082,39
10-F12988,39
10-X509XXA,39
9-20284,39
9-27731,39
10-Y92413,39
10-O4592,39
10-O324XX0,39
9-71831,39
10-M5414,39
10-T84033A,39
9-3562,39
10-F1914,39
9-87200,39
10-S02622A,39
10-J940,39
10-O716,39
9-7869,39
10-T183XXA,39
9-5731,39
10-S3282XA,39
9-78461,39
10-T444X5A,39
10-M5104,39
10-H9209,39
10-Z608,39
10-S066X7A,39
10-C8198,39
10-N762,39
9-4581,39
10-F519,39
10-S22068A,39
10-S032XXA,39
10-M79A22,39
9-38630,39
10-E8841,39
10-D582,39
10-D89812,39
10-L080,39
9-72990,39
9-88120,39
9-0400,39
9-61179,39
10-L501,39
10-S32810A,39
10-S61211A,39
9-1733,39
10-Y909,39
10-T368X6A,39
10-I6302,39
10-S92001A,39
10-M00861,39
10-O7189,39
9-40599,39
9-V9102,39
10-M47814,39
10-M79645,39
10-M4636,39
10-O3403,39
10-L89314,39
9-70701,39
10-R438,39
9-59984,39
10-D704,39
9-6200,39
9-8794,39
9-9779,39
9-E8501,39
10-S32432A,39
9-20198,39
10-K560,39
10-S028XXA,39
10-T3995XA,39
10-K8044,39
10-K50111,39
9-33900,39
10-G8193,39
10-Z713,39
10-M84454A,39
9-99675,38
10-D529,38
10-G43919,38
9-30481,38
10-D5911,38
10-G839,38
10-Z041,38
9-71680,38
9-4959,38
10-S01311A,38
10-Z3A09,38
10-J9312,38
9-07799,38
10-H5010,38
10-E069,38
9-20971,38
9-E8789,38
10-F451,38
9-E8581,38
9-V1029,38
10-M21061,38
9-65401,38
9-V558,38
9-30493,38
9-5206,38
10-G038,38
10-H02403,38
10-S32431A,38
10-O1093,38
10-L02412,38
9-1737,38
9-45372,38
9-36320,38
10-S1181XA,38
9-73024,38
9-83101,38
10-Y905,38
10-G40101,38
10-C218,38
9-70700,38
10-C183,38
9-83100,38
10-E8389,38
10-X80XXXA,38
9-53100,38
10-L89316,38
10-L89210,38
9-4110,38
9-74100,38
10-Y92030,38
10-S30810A,38
10-F1423,38
9-8362,38
9-59000,38
9-2669,38
9-V536,38
10-Z86008,38
10-D242,38
9-82111,38
9-2250,38
10-O630,38
10-H401130,38
10-K645,38
10-M5090,38
10-T465X2A,38
10-T82590A,38
9-42291,38
10-Z5989,38
10-S02411A,38
10-E10628,38
10-Z3A12,38
10-F607,38
10-I606,38
10-G4710,38
9-9245,38
9-74769,38
10-V476XXA,38
10-J9588,38
10-J702,38
9-64953,38
9-8760,38
10-C7A090,38
10-S02842A,38
10-Z91419,38
10-F4481,38
9-8245,38
10-T447X2A,38
10-Z635,38
9-3499,38
10-S27892A,38
9-34282,38
10-T467X5A,38
10-T7849XA,38
10-K50114,38
10-M65842,37
9-45375,37
10-G09,37
10-J0180,37
9-82003,37
9-27700,37
10-F10251,37
10-T86898,37
10-S92322A,37
9-29664,37
9-29520,37
10-Z733,37
10-C652,37
10-S2222XA,37
10-Z4732,37
10-Z4733,37
10-L89621,37
10-C92Z2,37
10-C9010,37
10-K9049,37
10-Y00XXXA,37
10-T8332XA,37
9-78604,37
10-Z3A14,37
10-W230XXA,37
9-V235,37
10-S70311A,37
10-S5011XA,37
10-I82623,37
9-32727,37
10-K8040,37
9-80224,37
10-M24542,37
9-3961,37
9-1891,37
9-9161,37
10-R808,37
10-S02841A,37
10-O99412,37
10-I82221,37
10-L97416,37
9-7350,37
10-Q8740,37
10-L928,37
9-31289,37
9-9213,37
9-3950,37
10-M86652,37
10-O43213,37
10-M5031,37
10-G713,37
10-Z8739,37
9-55091,37
10-F802,37
9-7514,37
10-W260XXA,37
9-37741,37
9-62989,37
9-1892,37
9-92310,37
10-N83511,37
10-N041,37
10-G90522,37
10-H43399,37
9-0092,37
10-M264,37
9-E8132,37
10-Z411,37
10-K2921,37
9-1514,37
10-S72092A,37
10-L89323,37
10-M50121,37
9-5811,37
10-I69192,37
10-Z9621,37
10-Z9989,37
10-G248,37
10-V892XXD,37
9-7960,37
10-C7960,37
10-W1831XA,37
9-3431,37
10-Z967,37
10-C680,37
10-M11232,36
9-72703,36
9-9035,36
9-72761,36
9-30150,36
10-Z3A11,36
10-K1370,36
9-07020,36
10-S60221A,36
10-O42912,36
10-M5134,36
10-I25720,36
10-I69191,36
10-E882,36
9-45379,36
10-T7611XA,36
10-M25579,36
10-N486,36
9-48882,36
10-L97119,36
10-M317,36
10-R4586,36
10-I63032,36
10-I82722,36
9-7825,36
9-75733,36
9-7271,36
9-V430,36
10-I2724,36
10-O99112,36
10-C5701,36
9-2722,36
9-37034,36
10-Z3A00,36
9-34202,36
10-R972,36
10-K604,36
10-T84030A,36
10-I69251,36
10-S12490A,36
10-I69851,36
10-I773,36
10-O860,36
10-L720,36
10-R4183,36
9-7217,36
10-K55041,36
10-F423,36
9-65461,36
10-I2602,36
9-6981,36
9-41081,36
10-J339,36
10-H509,36
9-86415,36
9-8442,36
10-S01412A,36
10-Z531,36
9-36520,36
10-Q02,36
9-72272,36
9-5120,36
10-S00211A,36
10-M5021,36
10-K2901,36
9-66712,36
9-E8130,36
10-T50901A,36
10-N3020,36
9-E8588,36
10-L89313,36
9-80229,36
9-86402,36
10-I82522,36
10-T407X1A,36
9-40490,36
9-72781,36
9-25093,36
9-V8802,36
10-K8530,36
10-G8190,36
10-L89611,36
10-Z3A13,36
10-C7B09,36
10-T8753,36
10-L03119,36
10-T888XXA,36
9-30441,36
10-M00052,36
9-30480,36
9-29990,36
9-E9460,35
10-F10221,35
10-N111,35
9-65913,35
9-95203,35
10-O751,35
10-C662,35
10-J9561,35
10-K91858,35
9-5239,35
10-F1199,35
10-Q430,35
9-8438,35
9-1741,35
9-3083,35
10-I63532,35
10-N485,35
9-2931,35
9-8840,35
10-N802,35
9-6183,35
10-C4442,35
9-2144,35
10-L89319,35
10-Z9109,35
10-O99333,35
10-O42112,35
10-V484XXA,35
10-K8066,35
10-O99834,35
9-27661,35
9-1460,35
10-M65142,35
10-Z62819,35
9-71958,35
9-7423,35
10-K52839,35
10-I308,35
10-K8065,35
10-R9401,35
9-70909,35
10-L98498,35
10-T184XXA,35
10-C50211,35
10-F10220,35
9-49391,35
10-R402222,35
9-71104,35
9-9802,35
9-72706,35
10-D690,35
10-K6139,35
10-T43505A,35
10-T17900A,35
9-V4509,35
10-M50321,35
9-72479,35
10-A4902,35
10-H4312,35
10-F13129,35
10-N841,35
9-66881,35
10-R403,35
9-31200,35
9-20402,35
10-V184XXA,35
9-79989,35
10-O624,35
9-80600,35
10-Z974,35
10-E8840,35
10-Z28311,35
10-G10,35
10-G710,35
10-G2589,35
9-3101,35
9-82523,35
10-T17908A,35
9-46410,35
9-7880,35
9-9340,35
10-S82252A,35
10-K8581,35
9-6391,35
9-V4289,35
10-O679,35
10-O903,35
9-7833,35
9-96905,35
10-Z224,35
9-88000,35
9-990,35
10-S92002A,35
9-1504,35
10-Z452,35
9-1580,35
10-J180,35
9-82129,35
10-S82001A,35
10-A523,35
9-86501,35
10-O1493,35
10-T7601XA,35
9-2706,35
10-S2239XA,35
10-O98812,35
9-9752,35
9-82524,35
10-T40411A,35
10-M6250,35
10-F308,35
10-T884XXA,35
10-S32020A,35
10-M779,35
10-C8370,35
10-S41111A,35
10-H9311,35
9-20969,35
10-L959,35
10-J3089,35
10-M868X4,34
9-2331,34
10-L97909,34
10-N365,34
9-2888,34
9-64833,34
10-T730XXA,34
10-T39016A,34
10-S61452A,34
10-M65841,34
9-28244,34
9-75619,34
9-47833,34
10-D691,34
9-71905,34
10-G5793,34
10-A6004,34
10-J929,34
9-29540,34
10-R456,34
9-99800,34
9-37993,34
10-J853,34
10-Z228,34
9-1832,34
10-H4900,34
10-S72145A,34
10-Z6740,34
9-60783,34
10-S8392XA,34
9-34201,34
9-86403,34
9-6072,34
10-I6012,34
10-T381X6A,34
10-I82423,34
10-S12401A,34
10-M40204,34
9-64662,34
9-V4569,34
10-G9609,34
10-H510,34
10-V0300XA,34
10-E0865,34
10-B451,34
10-L700,34
10-I6031,34
9-V6089,34
9-0030,34
10-C8522,34
10-I82211,34
10-D497,34
10-R2241,34
10-S5012XA,34
10-E13649,34
9-5734,34
10-O99322,34
9-V4450,34
10-S71112A,34
10-M2450,34
10-Z9351,34
10-H579,34
9-5275,34
10-T486X6A,34
9-33912,34
10-C7981,34
10-N859,34
9-37710,34
10-A528,34
10-S12030A,34
10-H3412,34
10-J324,34
10-B4481,34
9-4918,34
10-S72032A,34
9-3552,34
9-92420,34
10-Z96619,34
10-T814XXD,34
9-87201,34
10-H902,34
10-G255,34
10-O2653,34
9-28269,34
10-O99211,34
9-45119,34
10-O894,34
10-K9181,34
9-67002,34
10-C661,33
9-5649,33
10-R2242,33
9-E8129,33
9-1745,33
10-S0093XA,33
10-Q230,33
9-3336,33
9-3360,33
10-C530,33
10-F552,33
9-80220,33
9-5199,33
10-C249,33
9-80125,33
9-E9318,33
9-1543,33
10-C44319,33
10-I63531,33
10-T85730A,33
10-H189,33
10-O99323,33
10-S0285XA,33
10-I70243,33
9-32742,33
10-M358,33
9-V715,33
10-Z862,33
9-30019,33
10-F21,33
10-T402X2A,33
9-2530,33
10-F17219,33
9-36205,33
10-M25762,33
10-D6189,33
9-5647,33
10-F639,33
10-C671,33
10-L89302,33
10-T423X5A,33
10-I83009,33
10-R971,33
10-E242,33
9-9642,33
9-65583,33
10-M24541,33
10-H6121,33
9-V5412,33
10-C4372,33
10-R29726,33
10-K51311,33
10-M79632,33
10-E7209,33
10-N8311,33
10-C8335,33
9-57149,33
10-E1159,33
9-V5878,33
10-T8609,33
10-C865,33
9-64951,33
10-R82998,33
10-I63031,33
9-E9322,33
10-S72031A,33
10-L97414,33
9-6172,33
9-95891,33
10-S90822A,33
10-C651,33
10-A6929,33
10-C9112,33
9-07951,33
9-1272,33
10-T43591A,33
9-72141,33
10-R162,33
10-V1988XA,33
10-Q250,33
10-I669,33
9-E8171,33
9-29211,33
10-I82461,33
10-O031,33
10-R7889,33
10-O2243,33
10-R142,33
10-H5210,33
10-I970,33
9-V9089,33
10-S32421A,33
9-8064,33
9-61181,33
10-J95831,33
10-T43292A,33
9-2442,33
10-I82613,33
10-S139XXA,33
10-J341,32
9-9599,32
10-H53452,32
10-F19959,32
10-T8110XA,32
9-0993,32
9-34691,32
10-S72352A,32
9-66632,32
10-S42301A,32
10-F258,32
9-83500,32
9-79409,32
9-45377,32
10-S06360A,32
10-S37032A,32
10-I69122,32
10-K7291,32
9-71615,32
10-T66XXXS,32
10-O09521,32
9-6012,32
9-79095,32
10-T85838A,32
10-Y901,32
9-4519,32
10-O8620,32
9-65941,32
9-95919,32
10-Z91130,32
10-C50212,32
10-D378,32
10-S065X9S,32
9-36844,32
10-M50222,32
10-S8251XA,32
9-73743,32
9-V1088,32
10-K274,32
9-6079,32
10-M79669,32
9-52510,32
10-S143XXA,32
10-R10819,32
10-E220,32
9-05472,32
10-N119,32
10-H53451,32
9-4548,32
9-56401,32
9-28861,32
10-P271,32
10-F641,32
10-C8299,32
9-8479,32
10-O900,32
9-4489,32
10-F310,32
9-2861,32
10-T85694A,32
9-71515,32
9-E8853,32
9-0979,32
10-Z9359,32
10-S42101A,32
10-R29724,32
9-9551,32
9-32726,32
10-S0242XA,32
10-S02652A,32
10-M25471,32
10-D170,32
10-H918X2,32
9-73671,32
10-S60222A,32
10-S27331A,32
9-7142,32
9-05320,32
9-8601,32
10-G7241,32
9-9594,32
10-S12090A,32
10-K4091,32
9-99640,32
10-T17490A,32
10-A539,32
9-2462,32
10-I97621,32
10-T50906A,32
10-T43622A,32
9-82330,32
9-7429,32
10-S02611A,32
10-K9401,32
9-V064,32
10-O754,32
10-Z1889,32
10-R1111,32
10-R2231,32
10-S92332A,32
10-Y998,32
9-64831,32
10-O99511,32
10-I6931,31
10-Z4789,31
10-C4491,31
10-Z20818,31
9-2251,31
9-E9433,31
9-6101,31
10-I8501,31
9-E8182,31
9-4231,31
10-M79644,31
10-S82491A,31
10-T782XXA,31
10-M859,31
9-99643,31
10-I69991,31
9-67182,31
10-G3101,31
10-O3443,31
10-D34,31
10-F482,31
10-C499,31
10-O164,31
9-V4031,31
10-M10071,31
9-6250,31
10-Z8742,31
10-S60811A,31
9-V5832,31
9-37887,31
9-0543,31
9-1640,31
10-C675,31
9-64234,31
10-D538,31
9-2940,31
9-7079,31
10-H4920,31
10-T8249XA,31
10-F321,31
9-20920,31
9-71846,31
10-L89220,31
10-C800,31
10-I97130,31
9-E8582,31
10-F12129,31
9-4375,31
10-M79621,31
9-36800,31
10-N83512,31
10-G709,31
10-S82892A,31
10-R402411,31
10-T387X5A,31
9-9170,31
