icd_block,proc_block,n_hadm,proc_desc
273,340,3,Incision of chest wall
273,451,3,Transabdominal endoscopy of small intestine
273,399,2,Insertion of non-drug-eluting peripheral (non-coronary) vessel stent(s)
273,423,2,Local excision of esophageal diverticulum
274,389,51,Arterial catheterization
274,884,18,"Arteriography using contrast material, unspecified site"
274,967,18,Continuous invasive mechanical ventilation of unspecified duration
274,399,17,Insertion of non-drug-eluting peripheral (non-coronary) vessel stent(s)
274,004,15,Procedure on single vessel
274,451,15,Transabdominal endoscopy of small intestine
274,885,15,"Angiocardiography, not otherwise specified"
274,372,14,Noninvasive programmed electrical stimulation [NIPS]
274,396,13,Extracorporeal circulation auxiliary to open heart surgery
274,819,13,Arthrocentesis
275,389,57,Arterial catheterization
275,967,26,Continuous invasive mechanical ventilation of unspecified duration
275,399,21,Insertion of non-drug-eluting peripheral (non-coronary) vessel stent(s)
275,966,20,Enteral infusion of concentrated nutritional substances
275,992,15,Injection or infusion of platelet inhibitor
275,451,11,Transabdominal endoscopy of small intestine
275,960,11,Insertion of nasopharyngeal airway
275,001,9,"Central Nervous System and Cranial Nerves, Bypass"
275,332,9,Thoracoscopic lung biopsy
275,991,9,Injection or infusion of thrombolytic agent
276,389,316,Arterial catheterization
276,967,154,Continuous invasive mechanical ventilation of unspecified duration
276,966,121,Enteral infusion of concentrated nutritional substances
276,960,90,Insertion of nasopharyngeal airway
276,399,82,Insertion of non-drug-eluting peripheral (non-coronary) vessel stent(s)
276,332,76,Thoracoscopic lung biopsy
276,451,76,Transabdominal endoscopy of small intestine
276,991,61,Injection or infusion of thrombolytic agent
276,885,45,"Angiocardiography, not otherwise specified"
276,372,44,Noninvasive programmed electrical stimulation [NIPS]
277,399,6,Insertion of non-drug-eluting peripheral (non-coronary) vessel stent(s)
277,967,6,Continuous invasive mechanical ventilation of unspecified duration
277,389,4,Arterial catheterization
277,340,3,Incision of chest wall
277,349,3,Thoracentesis
277,372,2,Noninvasive programmed electrical stimulation [NIPS]
277,885,2,"Angiocardiography, not otherwise specified"
277,966,2,Enteral infusion of concentrated nutritional substances
277,016,1,Excision of lesion of skull
277,020,1,Opening of cranial suture
278,389,80,Arterial catheterization
278,372,32,Noninvasive programmed electrical stimulation [NIPS]
278,885,28,"Angiocardiography, not otherwise specified"
278,396,26,Extracorporeal circulation auxiliary to open heart surgery
278,967,25,Continuous invasive mechanical ventilation of unspecified duration
278,004,20,Procedure on single vessel
278,884,20,"Arteriography using contrast material, unspecified site"
278,966,20,Enteral infusion of concentrated nutritional substances
278,332,18,Thoracoscopic lung biopsy
278,451,18,Transabdominal endoscopy of small intestine
279,991,11,Injection or infusion of thrombolytic agent
279,389,10,Arterial catheterization
279,399,10,Insertion of non-drug-eluting peripheral (non-coronary) vessel stent(s)
279,413,7,Biopsy of bone marrow
279,992,7,Injection or infusion of platelet inhibitor
279,033,6,Spinal tap
279,451,4,Transabdominal endoscopy of small intestine
279,452,3,Transabdominal endoscopy of large intestine
279,482,2,Transabdominal proctosigmoidoscopy
279,501,2,Closed (percutaneous) [needle] biopsy of liver
280,389,43,Arterial catheterization
280,451,26,Transabdominal endoscopy of small intestine
280,452,17,Transabdominal endoscopy of large intestine
280,372,13,Noninvasive programmed electrical stimulation [NIPS]
280,862,9,Excision of pilonidal cyst or sinus
280,967,9,Continuous invasive mechanical ventilation of unspecified duration
280,991,9,Injection or infusion of thrombolytic agent
280,960,8,Insertion of nasopharyngeal airway
280,990,8,Perioperative autologous transfusion of whole blood or blood components
280,992,8,Injection or infusion of platelet inhibitor
281,389,11,Arterial catheterization
281,451,7,Transabdominal endoscopy of small intestine
281,399,4,Insertion of non-drug-eluting peripheral (non-coronary) vessel stent(s)
281,966,4,Enteral infusion of concentrated nutritional substances
281,967,4,Continuous invasive mechanical ventilation of unspecified duration
281,991,4,Injection or infusion of thrombolytic agent
281,893,3,Dental examination
281,444,2,"Suture of peptic ulcer, not otherwise specified"
281,452,2,Transabdominal endoscopy of large intestine
281,549,2,Percutaneous abdominal drainage
282,399,5,Insertion of non-drug-eluting peripheral (non-coronary) vessel stent(s)
282,033,3,Spinal tap
282,549,3,Percutaneous abdominal drainage
282,372,2,Noninvasive programmed electrical stimulation [NIPS]
282,389,2,Arterial catheterization
282,837,2,Advancement of tendon
282,885,2,"Angiocardiography, not otherwise specified"
282,990,2,Perioperative autologous transfusion of whole blood or blood components
282,004,1,Procedure on single vessel
282,006,1,Insertion of drug-eluting stent(s) of superficial femoral artery
283,403,1,Regional lymph node excision
283,413,1,Biopsy of bone marrow
283,512,1,Other partial cholecystectomy
283,861,1,Closed biopsy of skin and subcutaneous tissue
283,990,1,Perioperative autologous transfusion of whole blood or blood components
283,997,1,Therapeutic plasmapheresis
284,389,36,Arterial catheterization
284,413,10,Biopsy of bone marrow
284,992,9,Injection or infusion of platelet inhibitor
284,399,8,Insertion of non-drug-eluting peripheral (non-coronary) vessel stent(s)
284,966,8,Enteral infusion of concentrated nutritional substances
284,991,8,Injection or infusion of thrombolytic agent
284,967,7,Continuous invasive mechanical ventilation of unspecified duration
284,332,5,Thoracoscopic lung biopsy
284,410,5,"Bone marrow transplant, not otherwise specified"
284,501,5,Closed (percutaneous) [needle] biopsy of liver
285,389,293,Arterial catheterization
285,399,122,Insertion of non-drug-eluting peripheral (non-coronary) vessel stent(s)
285,967,107,Continuous invasive mechanical ventilation of unspecified duration
285,451,90,Transabdominal endoscopy of small intestine
285,966,83,Enteral infusion of concentrated nutritional substances
285,960,67,Insertion of nasopharyngeal airway
285,990,60,Perioperative autologous transfusion of whole blood or blood components
285,885,58,"Angiocardiography, not otherwise specified"
285,332,53,Thoracoscopic lung biopsy
285,396,52,Extracorporeal circulation auxiliary to open heart surgery
286,389,36,Arterial catheterization
286,967,25,Continuous invasive mechanical ventilation of unspecified duration
286,399,15,Insertion of non-drug-eluting peripheral (non-coronary) vessel stent(s)
286,966,14,Enteral infusion of concentrated nutritional substances
286,451,11,Transabdominal endoscopy of small intestine
286,332,10,Thoracoscopic lung biopsy
286,960,10,Insertion of nasopharyngeal airway
286,501,7,Closed (percutaneous) [needle] biopsy of liver
286,549,6,Percutaneous abdominal drainage
286,991,6,Injection or infusion of thrombolytic agent
287,389,91,Arterial catheterization
287,967,51,Continuous invasive mechanical ventilation of unspecified duration
287,966,34,Enteral infusion of concentrated nutritional substances
287,960,31,Insertion of nasopharyngeal airway
287,399,30,Insertion of non-drug-eluting peripheral (non-coronary) vessel stent(s)
287,991,27,Injection or infusion of thrombolytic agent
287,332,20,Thoracoscopic lung biopsy
287,396,20,Extracorporeal circulation auxiliary to open heart surgery
287,451,20,Transabdominal endoscopy of small intestine
287,992,18,Injection or infusion of platelet inhibitor
288,389,54,Arterial catheterization
288,992,25,Injection or infusion of platelet inhibitor
288,991,19,Injection or infusion of thrombolytic agent
288,399,17,Insertion of non-drug-eluting peripheral (non-coronary) vessel stent(s)
288,451,17,Transabdominal endoscopy of small intestine
288,967,14,Continuous invasive mechanical ventilation of unspecified duration
288,332,12,Thoracoscopic lung biopsy
288,452,12,Transabdominal endoscopy of large intestine
288,885,11,"Angiocardiography, not otherwise specified"
288,372,10,Noninvasive programmed electrical stimulation [NIPS]
289,389,10,Arterial catheterization
289,887,6,Diagnostic ultrasound of head and neck
289,372,5,Noninvasive programmed electrical stimulation [NIPS]
289,451,5,Transabdominal endoscopy of small intestine
289,452,4,Transabdominal endoscopy of large intestine
289,967,4,Continuous invasive mechanical ventilation of unspecified duration
289,399,3,Insertion of non-drug-eluting peripheral (non-coronary) vessel stent(s)
289,549,3,Percutaneous abdominal drainage
289,885,3,"Angiocardiography, not otherwise specified"
289,966,3,Enteral infusion of concentrated nutritional substances
290,389,6,Arterial catheterization
290,967,4,Continuous invasive mechanical ventilation of unspecified duration
290,033,3,Spinal tap
290,862,3,Excision of pilonidal cyst or sinus
290,970,3,Replacement of (naso-)gastric or esophagostomy tube
290,372,2,Noninvasive programmed electrical stimulation [NIPS]
290,451,2,Transabdominal endoscopy of small intestine
290,518,2,Dilation of sphincter of Oddi
290,884,2,"Arteriography using contrast material, unspecified site"
290,885,2,"Angiocardiography, not otherwise specified"
291,946,26,Alcohol rehabilitation
291,967,16,Continuous invasive mechanical ventilation of unspecified duration
291,389,12,Arterial catheterization
291,960,11,Insertion of nasopharyngeal airway
291,966,7,Enteral infusion of concentrated nutritional substances
291,451,6,Transabdominal endoscopy of small intestine
291,991,5,Injection or infusion of thrombolytic agent
291,311,4,Temporary tracheostomy
291,332,4,Thoracoscopic lung biopsy
291,884,4,"Arteriography using contrast material, unspecified site"
292,389,6,Arterial catheterization
292,884,5,"Arteriography using contrast material, unspecified site"
292,946,5,Alcohol rehabilitation
292,967,5,Continuous invasive mechanical ventilation of unspecified duration
292,332,4,Thoracoscopic lung biopsy
292,960,3,Insertion of nasopharyngeal airway
292,991,3,Injection or infusion of thrombolytic agent
292,004,2,Procedure on single vessel
292,030,2,Removal of foreign body from spinal canal
292,033,2,Spinal tap
293,389,21,Arterial catheterization
293,967,11,Continuous invasive mechanical ventilation of unspecified duration
293,960,9,Insertion of nasopharyngeal airway
293,966,9,Enteral infusion of concentrated nutritional substances
293,033,8,Spinal tap
293,372,7,Noninvasive programmed electrical stimulation [NIPS]
293,332,6,Thoracoscopic lung biopsy
293,396,6,Extracorporeal circulation auxiliary to open heart surgery
293,885,6,"Angiocardiography, not otherwise specified"
293,991,6,Injection or infusion of thrombolytic agent
294,389,44,Arterial catheterization
294,966,17,Enteral infusion of concentrated nutritional substances
294,399,16,Insertion of non-drug-eluting peripheral (non-coronary) vessel stent(s)
294,967,12,Continuous invasive mechanical ventilation of unspecified duration
294,033,10,Spinal tap
294,451,8,Transabdominal endoscopy of small intestine
294,332,7,Thoracoscopic lung biopsy
294,960,7,Insertion of nasopharyngeal airway
294,372,6,Noninvasive programmed electrical stimulation [NIPS]
294,518,6,Dilation of sphincter of Oddi
295,389,13,Arterial catheterization
295,967,9,Continuous invasive mechanical ventilation of unspecified duration
295,960,6,Insertion of nasopharyngeal airway
295,966,5,Enteral infusion of concentrated nutritional substances
295,887,4,Diagnostic ultrasound of head and neck
295,942,4,Narcoanalysis
295,944,4,Group therapy for psychosexual dysfunction
295,033,3,Spinal tap
295,396,3,Extracorporeal circulation auxiliary to open heart surgery
295,451,3,Transabdominal endoscopy of small intestine
296,389,30,Arterial catheterization
296,942,17,Narcoanalysis
296,967,14,Continuous invasive mechanical ventilation of unspecified duration
296,966,13,Enteral infusion of concentrated nutritional substances
296,033,9,Spinal tap
296,960,9,Insertion of nasopharyngeal airway
296,451,8,Transabdominal endoscopy of small intestine
296,891,7,Intracarotid amobarbital test
296,452,6,Transabdominal endoscopy of large intestine
296,944,6,Group therapy for psychosexual dysfunction
297,891,4,Intracarotid amobarbital test
297,361,1,"Aortocoronary bypass for heart revascularization, not otherwise specified"
297,396,1,Extracorporeal circulation auxiliary to open heart surgery
297,452,1,Transabdominal endoscopy of large intestine
297,885,1,"Angiocardiography, not otherwise specified"
298,004,1,Procedure on single vessel
298,030,1,Removal of foreign body from spinal canal
298,351,1,"Open heart valvuloplasty without replacement, unspecified valve"
298,361,1,"Aortocoronary bypass for heart revascularization, not otherwise specified"
298,372,1,Noninvasive programmed electrical stimulation [NIPS]
298,376,1,Implantation or insertion of biventricular external heart assist system
298,381,1,"Endarterectomy, unspecified site"
298,389,1,Arterial catheterization
298,396,1,Extracorporeal circulation auxiliary to open heart surgery
298,451,1,Transabdominal endoscopy of small intestine
299,389,3,Arterial catheterization
299,967,2,Continuous invasive mechanical ventilation of unspecified duration
299,332,1,Thoracoscopic lung biopsy
299,352,1,Open and other replacement of unspecified heart valve
299,372,1,Noninvasive programmed electrical stimulation [NIPS]
299,396,1,Extracorporeal circulation auxiliary to open heart surgery
299,399,1,Insertion of non-drug-eluting peripheral (non-coronary) vessel stent(s)
299,413,1,Biopsy of bone marrow
299,451,1,Transabdominal endoscopy of small intestine
299,861,1,Closed biopsy of skin and subcutaneous tissue
300,389,118,Arterial catheterization
300,885,40,"Angiocardiography, not otherwise specified"
300,372,38,Noninvasive programmed electrical stimulation [NIPS]
300,967,34,Continuous invasive mechanical ventilation of unspecified duration
300,451,32,Transabdominal endoscopy of small intestine
300,960,29,Insertion of nasopharyngeal airway
300,966,24,Enteral infusion of concentrated nutritional substances
300,004,22,Procedure on single vessel
300,884,21,"Arteriography using contrast material, unspecified site"
300,887,21,Diagnostic ultrasound of head and neck
301,389,5,Arterial catheterization
301,946,3,Alcohol rehabilitation
301,003,1,Computer assisted surgery with CT/CTA
301,011,1,Intracranial pressure monitoring
301,015,1,"Peripheral Nervous System, Destruction"
301,021,1,"Heart and Great Vessels, Bypass"
301,230,1,Extraction of deciduous tooth
301,399,1,Insertion of non-drug-eluting peripheral (non-coronary) vessel stent(s)
301,451,1,Transabdominal endoscopy of small intestine
301,767,1,"Reduction of facial fracture, not otherwise specified"
302,372,1,Noninvasive programmed electrical stimulation [NIPS]
302,389,1,Arterial catheterization
302,549,1,Percutaneous abdominal drainage
302,865,1,Replantation of scalp
302,870,1,Pneumoencephalogram
302,874,1,Computerized axial tomography of thorax
302,887,1,Diagnostic ultrasound of head and neck
302,893,1,Dental examination
302,895,1,Ambulatory cardiac monitoring
303,389,37,Arterial catheterization
303,946,36,Alcohol rehabilitation
303,967,29,Continuous invasive mechanical ventilation of unspecified duration
303,451,23,Transabdominal endoscopy of small intestine
303,960,23,Insertion of nasopharyngeal airway
303,549,21,Percutaneous abdominal drainage
303,966,17,Enteral infusion of concentrated nutritional substances
303,991,12,Injection or infusion of thrombolytic agent
303,332,11,Thoracoscopic lung biopsy
303,399,9,Insertion of non-drug-eluting peripheral (non-coronary) vessel stent(s)
304,389,24,Arterial catheterization
304,946,10,Alcohol rehabilitation
304,967,9,Continuous invasive mechanical ventilation of unspecified duration
304,966,8,Enteral infusion of concentrated nutritional substances
304,451,7,Transabdominal endoscopy of small intestine
304,887,7,Diagnostic ultrasound of head and neck
304,549,6,Percutaneous abdominal drainage
304,860,5,Aspiration of skin and subcutaneous tissue
304,332,4,Thoracoscopic lung biopsy
304,884,4,"Arteriography using contrast material, unspecified site"
305,389,105,Arterial catheterization
305,004,48,Procedure on single vessel
305,967,47,Continuous invasive mechanical ventilation of unspecified duration
305,885,44,"Angiocardiography, not otherwise specified"
305,451,41,Transabdominal endoscopy of small intestine
305,884,36,"Arteriography using contrast material, unspecified site"
305,966,35,Enteral infusion of concentrated nutritional substances
305,372,34,Noninvasive programmed electrical stimulation [NIPS]
305,399,31,Insertion of non-drug-eluting peripheral (non-coronary) vessel stent(s)
305,006,27,Insertion of drug-eluting stent(s) of superficial femoral artery
307,389,16,Arterial catheterization
307,967,11,Continuous invasive mechanical ventilation of unspecified duration
307,966,9,Enteral infusion of concentrated nutritional substances
307,960,6,Insertion of nasopharyngeal airway
307,332,3,Thoracoscopic lung biopsy
307,457,3,Open and other multiple segmental resection of large intestine
307,340,2,Incision of chest wall
307,501,2,Closed (percutaneous) [needle] biopsy of liver
307,549,2,Percutaneous abdominal drainage
307,870,2,Pneumoencephalogram
308,004,1,Procedure on single vessel
308,006,1,Insertion of drug-eluting stent(s) of superficial femoral artery
308,389,1,Arterial catheterization
308,884,1,"Arteriography using contrast material, unspecified site"
308,966,1,Enteral infusion of concentrated nutritional substances
309,946,16,Alcohol rehabilitation
309,389,10,Arterial catheterization
309,451,6,Transabdominal endoscopy of small intestine
309,545,3,Laparoscopic lysis of peritoneal adhesions
309,815,3,Total hip replacement
309,942,3,Narcoanalysis
309,991,3,Injection or infusion of thrombolytic agent
309,033,2,Spinal tap
309,730,2,Induction of labor by artificial rupture of membranes
309,810,2,"Spinal fusion, not otherwise specified"
310,314,1,Tracheoscopy through artificial stoma
310,389,1,Arterial catheterization
310,822,1,Excision of lesion of tendon sheath of hand
310,860,1,Aspiration of skin and subcutaneous tissue
310,862,1,Excision of pilonidal cyst or sinus
310,865,1,Replantation of scalp
310,870,1,Pneumoencephalogram
310,874,1,Computerized axial tomography of thorax
310,883,1,Skeletal series
310,893,1,Dental examination
311,389,133,Arterial catheterization
311,451,46,Transabdominal endoscopy of small intestine
311,967,42,Continuous invasive mechanical ventilation of unspecified duration
311,399,41,Insertion of non-drug-eluting peripheral (non-coronary) vessel stent(s)
311,960,32,Insertion of nasopharyngeal airway
311,966,32,Enteral infusion of concentrated nutritional substances
311,885,27,"Angiocardiography, not otherwise specified"
311,549,26,Percutaneous abdominal drainage
311,372,24,Noninvasive programmed electrical stimulation [NIPS]
311,033,22,Spinal tap
312,389,1,Arterial catheterization
312,451,1,Transabdominal endoscopy of small intestine
312,453,1,Endoscopic excision or destruction of lesion of duodenum
312,482,1,Transabdominal proctosigmoidoscopy
312,862,1,Excision of pilonidal cyst or sinus
312,966,1,Enteral infusion of concentrated nutritional substances
314,389,13,Arterial catheterization
314,874,8,Computerized axial tomography of thorax
314,895,8,Ambulatory cardiac monitoring
314,893,7,Dental examination
314,894,6,Cardiovascular stress test using treadmill
314,372,5,Noninvasive programmed electrical stimulation [NIPS]
314,884,5,"Arteriography using contrast material, unspecified site"
314,885,4,"Angiocardiography, not otherwise specified"
314,966,4,Enteral infusion of concentrated nutritional substances
314,033,3,Spinal tap
315,389,2,Arterial catheterization
315,332,1,Thoracoscopic lung biopsy
315,730,1,Induction of labor by artificial rupture of membranes
315,732,1,Internal and combined version without extraction
315,734,1,Medical induction of labor
315,735,1,Manual rotation of fetal head
315,834,1,Excision of tendon for graft
315,862,1,Excision of pilonidal cyst or sinus
315,960,1,Insertion of nasopharyngeal airway
315,966,1,Enteral infusion of concentrated nutritional substances
316,389,1,Arterial catheterization
316,791,1,"Closed reduction of fracture with internal fixation, unspecified site"
316,887,1,Diagnostic ultrasound of head and neck
316,960,1,Insertion of nasopharyngeal airway
316,967,1,Continuous invasive mechanical ventilation of unspecified duration
317,389,3,Arterial catheterization
317,966,2,Enteral infusion of concentrated nutritional substances
317,015,1,"Peripheral Nervous System, Destruction"
317,431,1,Percutaneous [endoscopic] gastrostomy [PEG]
317,450,1,"Incision of intestine, not otherwise specified"
317,457,1,Open and other multiple segmental resection of large intestine
317,461,1,"Colostomy, not otherwise specified"
317,501,1,Closed (percutaneous) [needle] biopsy of liver
317,542,1,Laparoscopy
317,544,1,Excision or destruction of peritoneal tissue
318,389,1,Arterial catheterization
318,458,1,Tot intra-abd colectomy
318,462,1,"Ileostomy, not otherwise specified"
318,512,1,Other partial cholecystectomy
318,793,1,"Open reduction of fracture with internal fixation, unspecified site"
318,960,1,Insertion of nasopharyngeal airway
318,966,1,Enteral infusion of concentrated nutritional substances
318,967,1,Continuous invasive mechanical ventilation of unspecified duration
319,389,3,Arterial catheterization
319,966,3,Enteral infusion of concentrated nutritional substances
319,033,2,Spinal tap
319,991,2,Injection or infusion of thrombolytic agent
319,451,1,Transabdominal endoscopy of small intestine
319,452,1,Transabdominal endoscopy of large intestine
319,815,1,Total hip replacement
319,891,1,Intracarotid amobarbital test
319,960,1,Insertion of nasopharyngeal airway
319,967,1,Continuous invasive mechanical ventilation of unspecified duration
320,033,7,Spinal tap
320,389,5,Arterial catheterization
320,966,3,Enteral infusion of concentrated nutritional substances
320,967,3,Continuous invasive mechanical ventilation of unspecified duration
320,332,2,Thoracoscopic lung biopsy
320,010,1,Cisternal puncture
320,023,1,Ventricular shunt to structure in head and neck
320,276,1,Suture of laceration of palate
320,311,1,Temporary tracheostomy
320,431,1,Percutaneous [endoscopic] gastrostomy [PEG]
322,010,1,Cisternal puncture
323,033,4,Spinal tap
323,389,4,Arterial catheterization
323,966,3,Enteral infusion of concentrated nutritional substances
323,967,2,Continuous invasive mechanical ventilation of unspecified duration
323,200,1,Myringotomy with insertion of tube
323,275,1,Suture of laceration of lip
323,314,1,Tracheoscopy through artificial stoma
323,340,1,Incision of chest wall
323,351,1,"Open heart valvuloplasty without replacement, unspecified valve"
323,396,1,Extracorporeal circulation auxiliary to open heart surgery
324,389,11,Arterial catheterization
324,030,5,Removal of foreign body from spinal canal
324,887,4,Diagnostic ultrasound of head and neck
324,966,4,Enteral infusion of concentrated nutritional substances
324,967,4,Continuous invasive mechanical ventilation of unspecified duration
324,774,3,"Biopsy of bone, unspecified site"
324,777,3,"Excision of bone for graft, unspecified site"
324,810,3,"Spinal fusion, not otherwise specified"
324,816,3,Fusion or refusion of 2-3 vertebrae
324,033,2,Spinal tap
327,389,49,Arterial catheterization
327,967,21,Continuous invasive mechanical ventilation of unspecified duration
327,885,20,"Angiocardiography, not otherwise specified"
327,372,19,Noninvasive programmed electrical stimulation [NIPS]
327,396,17,Extracorporeal circulation auxiliary to open heart surgery
327,966,17,Enteral infusion of concentrated nutritional substances
327,960,16,Insertion of nasopharyngeal airway
327,332,14,Thoracoscopic lung biopsy
327,451,14,Transabdominal endoscopy of small intestine
327,884,14,"Arteriography using contrast material, unspecified site"
331,389,19,Arterial catheterization
331,966,12,Enteral infusion of concentrated nutritional substances
331,967,11,Continuous invasive mechanical ventilation of unspecified duration
331,023,9,Ventricular shunt to structure in head and neck
331,022,7,Ventriculostomy
331,884,6,"Arteriography using contrast material, unspecified site"
331,311,5,Temporary tracheostomy
331,431,5,Percutaneous [endoscopic] gastrostomy [PEG]
331,960,5,Insertion of nasopharyngeal airway
331,024,4,"Heart and Great Vessels, Creation"
332,389,8,Arterial catheterization
332,966,7,Enteral infusion of concentrated nutritional substances
332,967,6,Continuous invasive mechanical ventilation of unspecified duration
332,033,5,Spinal tap
332,311,2,Temporary tracheostomy
332,431,2,Percutaneous [endoscopic] gastrostomy [PEG]
332,451,2,Transabdominal endoscopy of small intestine
332,452,2,Transabdominal endoscopy of large intestine
332,887,2,Diagnostic ultrasound of head and neck
332,960,2,Insertion of nasopharyngeal airway
333,389,18,Arterial catheterization
333,967,9,Continuous invasive mechanical ventilation of unspecified duration
333,966,7,Enteral infusion of concentrated nutritional substances
333,960,5,Insertion of nasopharyngeal airway
333,033,4,Spinal tap
333,332,4,Thoracoscopic lung biopsy
333,991,4,Injection or infusion of thrombolytic agent
333,373,3,Pericardiectomy
333,885,3,"Angiocardiography, not otherwise specified"
333,887,3,Diagnostic ultrasound of head and neck
334,451,1,Transabdominal endoscopy of small intestine
335,431,3,Percutaneous [endoscopic] gastrostomy [PEG]
335,389,2,Arterial catheterization
335,033,1,Spinal tap
335,312,1,Mediastinal tracheostomy
335,451,1,Transabdominal endoscopy of small intestine
335,893,1,Dental examination
335,895,1,Ambulatory cardiac monitoring
335,960,1,Insertion of nasopharyngeal airway
335,966,1,Enteral infusion of concentrated nutritional substances
335,967,1,Continuous invasive mechanical ventilation of unspecified duration
336,810,6,"Spinal fusion, not otherwise specified"
336,816,6,Fusion or refusion of 2-3 vertebrae
336,845,4,Insertion of interbody spinal fusion device
336,389,3,Arterial catheterization
336,777,3,"Excision of bone for graft, unspecified site"
336,967,3,Continuous invasive mechanical ventilation of unspecified duration
336,030,2,Removal of foreign body from spinal canal
336,035,2,"Upper Arteries, Destruction"
336,332,2,Thoracoscopic lung biopsy
336,340,2,Incision of chest wall
337,399,37,Insertion of non-drug-eluting peripheral (non-coronary) vessel stent(s)
337,389,27,Arterial catheterization
337,451,3,Transabdominal endoscopy of small intestine
337,990,3,Perioperative autologous transfusion of whole blood or blood components
337,991,3,Injection or infusion of thrombolytic agent
337,992,3,Injection or infusion of platelet inhibitor
337,033,2,Spinal tap
337,044,2,Decompression of trigeminal nerve root
337,004,1,Procedure on single vessel
337,039,1,"Upper Arteries, Drainage"
338,389,68,Arterial catheterization
338,451,27,Transabdominal endoscopy of small intestine
338,992,24,Injection or infusion of platelet inhibitor
338,039,17,"Upper Arteries, Drainage"
338,991,15,Injection or infusion of thrombolytic agent
338,967,13,Continuous invasive mechanical ventilation of unspecified duration
338,922,12,Infusion of liquid brachytherapy radioisotope
338,518,11,Dilation of sphincter of Oddi
338,545,11,Laparoscopic lysis of peritoneal adhesions
338,893,11,Dental examination
339,033,1,Spinal tap
339,389,1,Arterial catheterization
339,570,1,Transurethral clearance of bladder
339,573,1,Cystoscopy through artificial stoma
339,602,1,Transurethral (ultrasound) guided laser induced prostatectomy (TULIP)
339,870,1,Pneumoencephalogram
339,884,1,"Arteriography using contrast material, unspecified site"
339,889,1,"Diagnostic imaging, not elsewhere classified"
339,893,1,Dental examination
340,389,7,Arterial catheterization
340,033,4,Spinal tap
340,887,2,Diagnostic ultrasound of head and neck
340,891,2,Intracarotid amobarbital test
340,001,1,"Central Nervous System and Cranial Nerves, Bypass"
340,004,1,Procedure on single vessel
340,006,1,Insertion of drug-eluting stent(s) of superficial femoral artery
340,030,1,Removal of foreign body from spinal canal
340,039,1,"Upper Arteries, Drainage"
340,048,1,"Peripheral nerve injection, not otherwise specified"
342,967,12,Continuous invasive mechanical ventilation of unspecified duration
342,966,11,Enteral infusion of concentrated nutritional substances
342,389,9,Arterial catheterization
342,960,7,Insertion of nasopharyngeal airway
342,991,6,Injection or infusion of thrombolytic agent
342,022,4,Ventriculostomy
342,431,4,Percutaneous [endoscopic] gastrostomy [PEG]
342,884,4,"Arteriography using contrast material, unspecified site"
342,887,4,Diagnostic ultrasound of head and neck
342,033,3,Spinal tap
343,434,2,Endoscopic excision or destruction of lesion or tissue of stomach
343,451,2,Transabdominal endoscopy of small intestine
343,314,1,Tracheoscopy through artificial stoma
343,350,1,"Closed heart valvotomy, unspecified valve"
343,372,1,Noninvasive programmed electrical stimulation [NIPS]
343,377,1,"Initial insertion of lead [electrode], not otherwise specified"
343,378,1,"Insertion of permanent pacemaker, initial or replacement, type of device not specified"
343,389,1,Arterial catheterization
343,865,1,Replantation of scalp
344,389,18,Arterial catheterization
344,887,3,Diagnostic ultrasound of head and neck
344,967,3,Continuous invasive mechanical ventilation of unspecified duration
344,033,2,Spinal tap
344,332,2,Thoracoscopic lung biopsy
344,511,2,Endoscopic retrograde cholangiopancreatography [ERCP]
344,518,2,Dilation of sphincter of Oddi
344,519,2,Repair of laceration of gallbladder
344,774,2,"Biopsy of bone, unspecified site"
344,777,2,"Excision of bone for graft, unspecified site"
345,389,49,Arterial catheterization
345,967,28,Continuous invasive mechanical ventilation of unspecified duration
345,966,27,Enteral infusion of concentrated nutritional substances
345,033,20,Spinal tap
345,891,16,Intracarotid amobarbital test
345,399,15,Insertion of non-drug-eluting peripheral (non-coronary) vessel stent(s)
345,960,13,Insertion of nasopharyngeal airway
345,451,9,Transabdominal endoscopy of small intestine
345,372,8,Noninvasive programmed electrical stimulation [NIPS]
345,885,8,"Angiocardiography, not otherwise specified"
346,389,19,Arterial catheterization
346,033,9,Spinal tap
346,992,9,Injection or infusion of platelet inhibitor
346,372,6,Noninvasive programmed electrical stimulation [NIPS]
346,399,6,Insertion of non-drug-eluting peripheral (non-coronary) vessel stent(s)
346,451,6,Transabdominal endoscopy of small intestine
346,512,5,Other partial cholecystectomy
346,884,5,"Arteriography using contrast material, unspecified site"
346,885,5,"Angiocardiography, not otherwise specified"
346,967,5,Continuous invasive mechanical ventilation of unspecified duration
347,810,1,"Spinal fusion, not otherwise specified"
347,816,1,Fusion or refusion of 2-3 vertebrae
347,884,1,"Arteriography using contrast material, unspecified site"
348,389,77,Arterial catheterization
348,967,76,Continuous invasive mechanical ventilation of unspecified duration
348,966,56,Enteral infusion of concentrated nutritional substances
348,033,41,Spinal tap
348,332,31,Thoracoscopic lung biopsy
348,960,31,Insertion of nasopharyngeal airway
348,431,24,Percutaneous [endoscopic] gastrostomy [PEG]
348,015,21,"Peripheral Nervous System, Destruction"
348,399,18,Insertion of non-drug-eluting peripheral (non-coronary) vessel stent(s)
348,311,15,Temporary tracheostomy
349,389,37,Arterial catheterization
349,967,25,Continuous invasive mechanical ventilation of unspecified duration
