block,icd_code,n_hadm,long_title
0D2,0D20XYZ,1,"Change Other Device in Upper Intestinal Tract, External Approach"
0D2,0D2DXYZ,1,"Change Other Device in Lower Intestinal Tract, External Approach"
0D5,0D598ZZ,7,"Destruction of Duodenum, Via Natural or Artificial Opening Endoscopic"
0D5,0D568ZZ,4,"Destruction of Stomach, Via Natural or Artificial Opening Endoscopic"
0D5,0D5H8ZZ,3,"Destruction of Cecum, Via Natural or Artificial Opening Endoscopic"
0D5,0D5W0ZZ,3,"Destruction of Peritoneum, Open Approach"
0D5,0D580ZZ,2,"Destruction of Small Intestine, Open Approach"
0D5,0D5A8ZZ,2,"Destruction of Jejunum, Via Natural or Artificial Opening Endoscopic"
0D5,0D588ZZ,1,"Destruction of Small Intestine, Via Natural or Artificial Opening Endoscopic"
0D5,0D5N0ZZ,1,"Destruction of Sigmoid Colon, Open Approach"
0D5,0D5V0ZZ,1,"Destruction of Mesentery, Open Approach"
0D7,0D798DZ,4,"Dilation of Duodenum with Intraluminal Device, Via Natural or Artificial Opening Endoscopic"
0D7,0D748ZZ,3,"Dilation of Esophagogastric Junction, Via Natural or Artificial Opening Endoscopic"
0D7,0D768ZZ,3,"Dilation of Stomach, Via Natural or Artificial Opening Endoscopic"
0D7,0D7A8ZZ,3,"Dilation of Jejunum, Via Natural or Artificial Opening Endoscopic"
0D7,0D748DZ,2,"Dilation of Esophagogastric Junction with Intraluminal Device, Via Natural or Artificial Opening Endoscopic"
0D7,0D7P8DZ,2,"Dilation of Rectum with Intraluminal Device, Via Natural or Artificial Opening Endoscopic"
0D7,0D738ZZ,1,"Dilation of Lower Esophagus, Via Natural or Artificial Opening Endoscopic"
0D7,0D758DZ,1,"Dilation of Esophagus with Intraluminal Device, Via Natural or Artificial Opening Endoscopic"
0D7,0D778ZZ,1,"Dilation of Stomach, Pylorus, Via Natural or Artificial Opening Endoscopic"
0D7,0D793DZ,1,"Dilation of Duodenum with Intraluminal Device, Percutaneous Approach"
0D7,0D793ZZ,1,"Dilation of Duodenum, Percutaneous Approach"
0D7,0D798ZZ,1,"Dilation of Duodenum, Via Natural or Artificial Opening Endoscopic"
0D7,0D7A3DZ,1,"Dilation of Jejunum with Intraluminal Device, Percutaneous Approach"
0D7,0D7B8ZZ,1,"Dilation of Ileum, Via Natural or Artificial Opening Endoscopic"
0D7,0D7L8DZ,1,"Dilation of Transverse Colon with Intraluminal Device, Via Natural or Artificial Opening Endoscopic"
0D7,0D7N8DZ,1,"Dilation of Sigmoid Colon with Intraluminal Device, Via Natural or Artificial Opening Endoscopic"
0D7,0D7N8ZZ,1,"Dilation of Sigmoid Colon, Via Natural or Artificial Opening Endoscopic"
0D7,0D7Q0ZZ,1,"Dilation of Anus, Open Approach"
0D8,0D844ZZ,2,"Division of Esophagogastric Junction, Percutaneous Endoscopic Approach"
0D8,0D874ZZ,1,"Division of Stomach, Pylorus, Percutaneous Endoscopic Approach"
0D8,0D8R0ZZ,1,"Division of Anal Sphincter, Open Approach"
0D9,0D9J30Z,3,"Drainage of Appendix with Drainage Device, Percutaneous Approach"
0D9,0D9P70Z,3,"Drainage of Rectum with Drainage Device, Via Natural or Artificial Opening"
0D9,0D9N8ZZ,2,"Drainage of Sigmoid Colon, Via Natural or Artificial Opening Endoscopic"
0D9,0D9P00Z,2,"Drainage of Rectum with Drainage Device, Open Approach"
0D9,0D9W30Z,2,"Drainage of Peritoneum with Drainage Device, Percutaneous Approach"
0D9,0D9W3ZZ,2,"Drainage of Peritoneum, Percutaneous Approach"
0D9,0D9600Z,1,"Drainage of Stomach with Drainage Device, Open Approach"
0D9,0D9630Z,1,"Drainage of Stomach with Drainage Device, Percutaneous Approach"
0D9,0D9680Z,1,"Drainage of Stomach with Drainage Device, Via Natural or Artificial Opening Endoscopic"
0D9,0D968ZX,1,"Drainage of Stomach, Via Natural or Artificial Opening Endoscopic, Diagnostic"
0D9,0D968ZZ,1,"Drainage of Stomach, Via Natural or Artificial Opening Endoscopic"
0D9,0D9L8ZZ,1,"Drainage of Transverse Colon, Via Natural or Artificial Opening Endoscopic"
0D9,0D9M8ZZ,1,"Drainage of Descending Colon, Via Natural or Artificial Opening Endoscopic"
0D9,0D9N80Z,1,"Drainage of Sigmoid Colon with Drainage Device, Via Natural or Artificial Opening Endoscopic"
0D9,0D9P0ZZ,1,"Drainage of Rectum, Open Approach"
0D9,0D9P30Z,1,"Drainage of Rectum with Drainage Device, Percutaneous Approach"
0D9,0D9P7ZZ,1,"Drainage of Rectum, Via Natural or Artificial Opening"
0D9,0D9Q70Z,1,"Drainage of Anus with Drainage Device, Via Natural or Artificial Opening"
0D9,0D9QX0Z,1,"Drainage of Anus with Drainage Device, External Approach"
0D9,0D9QXZX,1,"Drainage of Anus, External Approach, Diagnostic"
0D9,0D9QXZZ,1,"Drainage of Anus, External Approach"
0D9,0D9W0ZZ,1,"Drainage of Peritoneum, Open Approach"
0DB,0DB68ZX,47,"Excision of Stomach, Via Natural or Artificial Opening Endoscopic, Diagnostic"
0DB,0DB98ZX,36,"Excision of Duodenum, Via Natural or Artificial Opening Endoscopic, Diagnostic"
0DB,0DBN8ZX,28,"Excision of Sigmoid Colon, Via Natural or Artificial Opening Endoscopic, Diagnostic"
0DB,0DBB0ZZ,19,"Excision of Ileum, Open Approach"
0DB,0DBP8ZX,19,"Excision of Rectum, Via Natural or Artificial Opening Endoscopic, Diagnostic"
0DB,0DB64Z3,12,"Excision of Stomach, Percutaneous Endoscopic Approach, Vertical"
0DB,0DB78ZX,12,"Excision of Stomach, Pylorus, Via Natural or Artificial Opening Endoscopic, Diagnostic"
0DB,0DB80ZZ,12,"Excision of Small Intestine, Open Approach"
0DB,0DBH8ZX,11,"Excision of Cecum, Via Natural or Artificial Opening Endoscopic, Diagnostic"
0DB,0DBN0ZZ,11,"Excision of Sigmoid Colon, Open Approach"
0DB,0DB90ZZ,10,"Excision of Duodenum, Open Approach"
0DB,0DB58ZX,9,"Excision of Esophagus, Via Natural or Artificial Opening Endoscopic, Diagnostic"
0DB,0DBL0ZZ,9,"Excision of Transverse Colon, Open Approach"
0DB,0DBK8ZX,8,"Excision of Ascending Colon, Via Natural or Artificial Opening Endoscopic, Diagnostic"
0DB,0DBW0ZZ,8,"Excision of Peritoneum, Open Approach"
0DB,0DB38ZX,7,"Excision of Lower Esophagus, Via Natural or Artificial Opening Endoscopic, Diagnostic"
0DB,0DBB8ZX,7,"Excision of Ileum, Via Natural or Artificial Opening Endoscopic, Diagnostic"
0DB,0DBE8ZX,7,"Excision of Large Intestine, Via Natural or Artificial Opening Endoscopic, Diagnostic"
0DB,0DBL8ZX,7,"Excision of Transverse Colon, Via Natural or Artificial Opening Endoscopic, Diagnostic"
0DB,0DBP0ZZ,7,"Excision of Rectum, Open Approach"
0DB,0DB48ZX,6,"Excision of Esophagogastric Junction, Via Natural or Artificial Opening Endoscopic, Diagnostic"
0DB,0DBA0ZZ,6,"Excision of Jejunum, Open Approach"
0DB,0DBM8ZX,6,"Excision of Descending Colon, Via Natural or Artificial Opening Endoscopic, Diagnostic"
0DB,0DBN8ZZ,6,"Excision of Sigmoid Colon, Via Natural or Artificial Opening Endoscopic"
0DB,0DB28ZX,5,"Excision of Middle Esophagus, Via Natural or Artificial Opening Endoscopic, Diagnostic"
0DB,0DB60ZZ,5,"Excision of Stomach, Open Approach"
0DB,0DBN4ZZ,5,"Excision of Sigmoid Colon, Percutaneous Endoscopic Approach"
0DB,0DBP4ZZ,5,"Excision of Rectum, Percutaneous Endoscopic Approach"
0DB,0DB64ZZ,4,"Excision of Stomach, Percutaneous Endoscopic Approach"
0DB,0DBL8ZZ,4,"Excision of Transverse Colon, Via Natural or Artificial Opening Endoscopic"
0DB,0DBS0ZZ,4,"Excision of Greater Omentum, Open Approach"
0DB,0DBU0ZZ,4,"Excision of Omentum, Open Approach"
0DB,0DBF8ZX,3,"Excision of Right Large Intestine, Via Natural or Artificial Opening Endoscopic, Diagnostic"
0DB,0DBG8ZX,3,"Excision of Left Large Intestine, Via Natural or Artificial Opening Endoscopic, Diagnostic"
0DB,0DBU3ZX,3,"Excision of Omentum, Percutaneous Approach, Diagnostic"
0DB,0DB70ZZ,2,"Excision of Stomach, Pylorus, Open Approach"
0DB,0DBM8ZZ,2,"Excision of Descending Colon, Via Natural or Artificial Opening Endoscopic"
0DB,0DBP8ZZ,2,"Excision of Rectum, Via Natural or Artificial Opening Endoscopic"
0DB,0DBS0ZX,2,"Excision of Greater Omentum, Open Approach, Diagnostic"
0DB,0DBW4ZZ,2,"Excision of Peritoneum, Percutaneous Endoscopic Approach"
0DB,0DB24ZZ,1,"Excision of Middle Esophagus, Percutaneous Endoscopic Approach"
0DB,0DB44ZZ,1,"Excision of Esophagogastric Junction, Percutaneous Endoscopic Approach"
0DB,0DB54ZZ,1,"Excision of Esophagus, Percutaneous Endoscopic Approach"
0DB,0DB88ZX,1,"Excision of Small Intestine, Via Natural or Artificial Opening Endoscopic, Diagnostic"
0DB,0DBA3ZX,1,"Excision of Jejunum, Percutaneous Approach, Diagnostic"
0DB,0DBA4ZZ,1,"Excision of Jejunum, Percutaneous Endoscopic Approach"
0DB,0DBA8ZX,1,"Excision of Jejunum, Via Natural or Artificial Opening Endoscopic, Diagnostic"
0DB,0DBB0ZX,1,"Excision of Ileum, Open Approach, Diagnostic"
0DB,0DBB4ZZ,1,"Excision of Ileum, Percutaneous Endoscopic Approach"
0DB,0DBE0ZZ,1,"Excision of Large Intestine, Open Approach"
0DB,0DBF0ZZ,1,"Excision of Right Large Intestine, Open Approach"
0DB,0DBG4ZZ,1,"Excision of Left Large Intestine, Percutaneous Endoscopic Approach"
0DB,0DBH0ZZ,1,"Excision of Cecum, Open Approach"
0DB,0DBH4ZZ,1,"Excision of Cecum, Percutaneous Endoscopic Approach"
0DB,0DBJ0ZX,1,"Excision of Appendix, Open Approach, Diagnostic"
0DB,0DBK0ZZ,1,"Excision of Ascending Colon, Open Approach"
0DB,0DBK8ZZ,1,"Excision of Ascending Colon, Via Natural or Artificial Opening Endoscopic"
0DB,0DBL4ZX,1,"Excision of Transverse Colon, Percutaneous Endoscopic Approach, Diagnostic"
0DB,0DBM0ZZ,1,"Excision of Descending Colon, Open Approach"
0DB,0DBQXZZ,1,"Excision of Anus, External Approach"
0DB,0DBS3ZX,1,"Excision of Greater Omentum, Percutaneous Approach, Diagnostic"
0DB,0DBT0ZZ,1,"Excision of Lesser Omentum, Open Approach"
0DB,0DBV3ZX,1,"Excision of Mesentery, Percutaneous Approach, Diagnostic"
0DB,0DBV4ZX,1,"Excision of Mesentery, Percutaneous Endoscopic Approach, Diagnostic"
0DB,0DBW0ZX,1,"Excision of Peritoneum, Open Approach, Diagnostic"
0DB,0DBW3ZX,1,"Excision of Peritoneum, Percutaneous Approach, Diagnostic"
0DC,0DC58ZZ,2,"Extirpation of Matter from Esophagus, Via Natural or Artificial Opening Endoscopic"
0DC,0DC98ZZ,2,"Extirpation of Matter from Duodenum, Via Natural or Artificial Opening Endoscopic"
0DC,0DCA0ZZ,1,"Extirpation of Matter from Jejunum, Open Approach"
0DC,0DCA8ZZ,1,"Extirpation of Matter from Jejunum, Via Natural or Artificial Opening Endoscopic"
0DC,0DCL8ZZ,1,"Extirpation of Matter from Transverse Colon, Via Natural or Artificial Opening Endoscopic"
0DC,0DCN0ZZ,1,"Extirpation of Matter from Sigmoid Colon, Open Approach"
0DC,0DCP8ZZ,1,"Extirpation of Matter from Rectum, Via Natural or Artificial Opening Endoscopic"
0DC,0DCW0ZZ,1,"Extirpation of Matter from Peritoneum, Open Approach"
0DD,0DD68ZX,2,"Extraction of Stomach, Via Natural or Artificial Opening Endoscopic, Diagnostic"
0DD,0DD78ZX,2,"Extraction of Stomach, Pylorus, Via Natural or Artificial Opening Endoscopic, Diagnostic"
0DD,0DD98ZX,2,"Extraction of Duodenum, Via Natural or Artificial Opening Endoscopic, Diagnostic"
0DD,0DDM8ZX,2,"Extraction of Descending Colon, Via Natural or Artificial Opening Endoscopic, Diagnostic"
0DD,0DDN8ZX,2,"Extraction of Sigmoid Colon, Via Natural or Artificial Opening Endoscopic, Diagnostic"
0DD,0DD28ZX,1,"Extraction of Middle Esophagus, Via Natural or Artificial Opening Endoscopic, Diagnostic"
0DD,0DD58ZX,1,"Extraction of Esophagus, Via Natural or Artificial Opening Endoscopic, Diagnostic"
0DD,0DDK8ZX,1,"Extraction of Ascending Colon, Via Natural or Artificial Opening Endoscopic, Diagnostic"
0DD,0DDL8ZX,1,"Extraction of Transverse Colon, Via Natural or Artificial Opening Endoscopic, Diagnostic"
0DD,0DDP8ZX,1,"Extraction of Rectum, Via Natural or Artificial Opening Endoscopic, Diagnostic"
0DH,0DH63UZ,45,"Insertion of Feeding Device into Stomach, Percutaneous Approach"
0DH,0DHA3UZ,15,"Insertion of Feeding Device into Jejunum, Percutaneous Approach"
0DH,0DH67UZ,5,"Insertion of Feeding Device into Stomach, Via Natural or Artificial Opening"
0DH,0DHA8UZ,4,"Insertion of Feeding Device into Jejunum, Via Natural or Artificial Opening Endoscopic"
0DH,0DHA0UZ,3,"Insertion of Feeding Device into Jejunum, Open Approach"
0DH,0DHA4UZ,3,"Insertion of Feeding Device into Jejunum, Percutaneous Endoscopic Approach"
0DH,0DHA7UZ,3,"Insertion of Feeding Device into Jejunum, Via Natural or Artificial Opening"
0DH,0DH98UZ,2,"Insertion of Feeding Device into Duodenum, Via Natural or Artificial Opening Endoscopic"
0DH,0DH60UZ,1,"Insertion of Feeding Device into Stomach, Open Approach"
0DH,0DH68UZ,1,"Insertion of Feeding Device into Stomach, Via Natural or Artificial Opening Endoscopic"
0DH,0DH84UZ,1,"Insertion of Feeding Device into Small Intestine, Percutaneous Endoscopic Approach"
0DH,0DH93UZ,1,"Insertion of Feeding Device into Duodenum, Percutaneous Approach"
0DH,0DH982Z,1,"Insertion of Monitoring Device into Duodenum, Via Natural or Artificial Opening Endoscopic"
0DJ,0DJ08ZZ,147,"Inspection of Upper Intestinal Tract, Via Natural or Artificial Opening Endoscopic"
0DJ,0DJD8ZZ,81,"Inspection of Lower Intestinal Tract, Via Natural or Artificial Opening Endoscopic"
0DJ,0DJ07ZZ,14,"Inspection of Upper Intestinal Tract, Via Natural or Artificial Opening"
0DJ,0DJ68ZZ,2,"Inspection of Stomach, Via Natural or Artificial Opening Endoscopic"
0DJ,0DJD4ZZ,2,"Inspection of Lower Intestinal Tract, Percutaneous Endoscopic Approach"
0DJ,0DJW0ZZ,2,"Inspection of Peritoneum, Open Approach"
0DJ,0DJ04ZZ,1,"Inspection of Upper Intestinal Tract, Percutaneous Endoscopic Approach"
0DJ,0DJ67ZZ,1,"Inspection of Stomach, Via Natural or Artificial Opening"
0DJ,0DJD7ZZ,1,"Inspection of Lower Intestinal Tract, Via Natural or Artificial Opening"
0DJ,0DJU4ZZ,1,"Inspection of Omentum, Percutaneous Endoscopic Approach"
0DL,0DL58DZ,1,"Occlusion of Esophagus with Intraluminal Device, Via Natural or Artificial Opening Endoscopic"
0DL,0DLA8DZ,1,"Occlusion of Jejunum with Intraluminal Device, Via Natural or Artificial Opening Endoscopic"
0DN,0DN80ZZ,16,"Release Small Intestine, Open Approach"
0DN,0DNW0ZZ,11,"Release Peritoneum, Open Approach"
0DN,0DNW4ZZ,4,"Release Peritoneum, Percutaneous Endoscopic Approach"
0DN,0DNA0ZZ,3,"Release Jejunum, Open Approach"
0DN,0DNN0ZZ,2,"Release Sigmoid Colon, Open Approach"
0DN,0DN34ZZ,1,"Release Lower Esophagus, Percutaneous Endoscopic Approach"
0DN,0DN44ZZ,1,"Release Esophagogastric Junction, Percutaneous Endoscopic Approach"
0DN,0DN60ZZ,1,"Release Stomach, Open Approach"
0DN,0DN84ZZ,1,"Release Small Intestine, Percutaneous Endoscopic Approach"
0DN,0DN90ZZ,1,"Release Duodenum, Open Approach"
0DN,0DNB0ZZ,1,"Release Ileum, Open Approach"
0DN,0DNB7ZZ,1,"Release Ileum, Via Natural or Artificial Opening"
0DN,0DNE0ZZ,1,"Release Large Intestine, Open Approach"
0DN,0DNF4ZZ,1,"Release Right Large Intestine, Percutaneous Endoscopic Approach"
0DN,0DNP0ZZ,1,"Release Rectum, Open Approach"
0DN,0DNS0ZZ,1,"Release Greater Omentum, Open Approach"
0DN,0DNU0ZZ,1,"Release Omentum, Open Approach"
0DN,0DNU4ZZ,1,"Release Omentum, Percutaneous Endoscopic Approach"
0DP,0DP64CZ,2,"Removal of Extraluminal Device from Stomach, Percutaneous Endoscopic Approach"
0DP,0DP6XUZ,2,"Removal of Feeding Device from Stomach, External Approach"
0DP,0DP030Z,1,"Removal of Drainage Device from Upper Intestinal Tract, Percutaneous Approach"
0DP,0DP63UZ,1,"Removal of Feeding Device from Stomach, Percutaneous Approach"
0DP,0DP67UZ,1,"Removal of Feeding Device from Stomach, Via Natural or Artificial Opening"
0DP,0DP68DZ,1,"Removal of Intraluminal Device from Stomach, Via Natural or Artificial Opening Endoscopic"
0DP,0DPD8UZ,1,"Removal of Feeding Device from Lower Intestinal Tract, Via Natural or Artificial Opening Endoscopic"
0DQ,0DQB0ZZ,6,"Repair Ileum, Open Approach"
0DQ,0DQ80ZZ,5,"Repair Small Intestine, Open Approach"
0DQ,0DQ60ZZ,3,"Repair Stomach, Open Approach"
0DQ,0DQ98ZZ,2,"Repair Duodenum, Via Natural or Artificial Opening Endoscopic"
0DQ,0DQA0ZZ,2,"Repair Jejunum, Open Approach"
0DQ,0DQP0ZZ,2,"Repair Rectum, Open Approach"
0DQ,0DQ68ZZ,1,"Repair Stomach, Via Natural or Artificial Opening Endoscopic"
0DQ,0DQA4ZZ,1,"Repair Jejunum, Percutaneous Endoscopic Approach"
0DQ,0DQE0ZZ,1,"Repair Large Intestine, Open Approach"
0DQ,0DQH0ZZ,1,"Repair Cecum, Open Approach"
0DQ,0DQN0ZZ,1,"Repair Sigmoid Colon, Open Approach"
0DQ,0DQN8ZZ,1,"Repair Sigmoid Colon, Via Natural or Artificial Opening Endoscopic"
0DQ,0DQQXZZ,1,"Repair Anus, External Approach"
0DQ,0DQV0ZZ,1,"Repair Mesentery, Open Approach"
0DS,0DSL0ZZ,1,"Reposition Transverse Colon, Open Approach"
0DS,0DSM0ZZ,1,"Reposition Descending Colon, Open Approach"
0DS,0DSP0ZZ,1,"Reposition Rectum, Open Approach"
0DT,0DTN0ZZ,12,"Resection of Sigmoid Colon, Open Approach"
0DT,0DTF0ZZ,8,"Resection of Right Large Intestine, Open Approach"
0DT,0DTP4ZZ,8,"Resection of Rectum, Percutaneous Endoscopic Approach"
0DT,0DTJ0ZZ,7,"Resection of Appendix, Open Approach"
0DT,0DTJ4ZZ,7,"Resection of Appendix, Percutaneous Endoscopic Approach"
0DT,0DTF4ZZ,5,"Resection of Right Large Intestine, Percutaneous Endoscopic Approach"
0DT,0DTP0ZZ,5,"Resection of Rectum, Open Approach"
0DT,0DTU0ZZ,5,"Resection of Omentum, Open Approach"
0DT,0DTN4ZZ,4,"Resection of Sigmoid Colon, Percutaneous Endoscopic Approach"
0DT,0DTE4ZZ,3,"Resection of Large Intestine, Percutaneous Endoscopic Approach"
0DT,0DTH4ZZ,3,"Resection of Cecum, Percutaneous Endoscopic Approach"
0DT,0DTQ0ZZ,3,"Resection of Anus, Open Approach"
0DT,0DT44ZZ,2,"Resection of Esophagogastric Junction, Percutaneous Endoscopic Approach"
0DT,0DT80ZZ,2,"Resection of Small Intestine, Open Approach"
0DT,0DTG0ZZ,2,"Resection of Left Large Intestine, Open Approach"
0DT,0DTQ4ZZ,2,"Resection of Anus, Percutaneous Endoscopic Approach"
0DT,0DT90ZZ,1,"Resection of Duodenum, Open Approach"
0DT,0DTG4ZZ,1,"Resection of Left Large Intestine, Percutaneous Endoscopic Approach"
0DT,0DTK0ZZ,1,"Resection of Ascending Colon, Open Approach"
0DT,0DTK4ZZ,1,"Resection of Ascending Colon, Percutaneous Endoscopic Approach"
0DT,0DTL0ZZ,1,"Resection of Transverse Colon, Open Approach"
0DT,0DTL4ZZ,1,"Resection of Transverse Colon, Percutaneous Endoscopic Approach"
0DT,0DTM0ZZ,1,"Resection of Descending Colon, Open Approach"
0DT,0DTS0ZZ,1,"Resection of Greater Omentum, Open Approach"
0DT,0DTS4ZZ,1,"Resection of Greater Omentum, Percutaneous Endoscopic Approach"
0DT,0DTT0ZZ,1,"Resection of Lesser Omentum, Open Approach"
0DT,0DTU4ZZ,1,"Resection of Omentum, Percutaneous Endoscopic Approach"
0DU,0DU547Z,1,"Supplement Esophagus with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
0DU,0DU607Z,1,"Supplement Stomach with Autologous Tissue Substitute, Open Approach"
0DU,0DU907Z,1,"Supplement Duodenum with Autologous Tissue Substitute, Open Approach"
0DU,0DUA07Z,1,"Supplement Jejunum with Autologous Tissue Substitute, Open Approach"
0DV,0DV44ZZ,3,"Restriction of Esophagogastric Junction, Percutaneous Endoscopic Approach"
0DW,0DW07UZ,2,"Revision of Feeding Device in Upper Intestinal Tract, Via Natural or Artificial Opening"
0DW,0DW0XUZ,1,"Revision of Feeding Device in Upper Intestinal Tract, External Approach"
0DW,0DW58DZ,1,"Revision of Intraluminal Device in Esophagus, Via Natural or Artificial Opening Endoscopic"
0DW,0DW6XUZ,1,"Revision of Feeding Device in Stomach, External Approach"
0F1,0F150ZB,1,"Bypass Right Hepatic Duct to Small Intestine, Open Approach"
0F1,0F160ZB,1,"Bypass Left Hepatic Duct to Small Intestine, Open Approach"
0F1,0F190ZB,1,"Bypass Common Bile Duct to Small Intestine, Open Approach"
0F1,0F1G0ZB,1,"Bypass Pancreas to Small Intestine, Open Approach"
0F2,0F2BX0Z,5,"Change Drainage Device in Hepatobiliary Duct, External Approach"
0F2,0F20X0Z,2,"Change Drainage Device in Liver, External Approach"
0F2,0F24X0Z,1,"Change Drainage Device in Gallbladder, External Approach"
0F2,0F2GX0Z,1,"Change Drainage Device in Pancreas, External Approach"
0F5,0F503ZF,1,"Destruction of Liver using Irreversible Electroporation, Percutaneous Approach"
0F5,0F503ZZ,1,"Destruction of Liver, Percutaneous Approach"
0F5,0F5C8ZZ,1,"Destruction of Ampulla of Vater, Via Natural or Artificial Opening Endoscopic"
0F7,0F798DZ,43,"Dilation of Common Bile Duct with Intraluminal Device, Via Natural or Artificial Opening Endoscopic"
0F7,0F798ZZ,14,"Dilation of Common Bile Duct, Via Natural or Artificial Opening Endoscopic"
0F7,0F7D8DZ,7,"Dilation of Pancreatic Duct with Intraluminal Device, Via Natural or Artificial Opening Endoscopic"
0F7,0F768DZ,5,"Dilation of Left Hepatic Duct with Intraluminal Device, Via Natural or Artificial Opening Endoscopic"
0F7,0F758DZ,3,"Dilation of Right Hepatic Duct with Intraluminal Device, Via Natural or Artificial Opening Endoscopic"
0F7,0F793DZ,3,"Dilation of Common Bile Duct with Intraluminal Device, Percutaneous Approach"
0F7,0F758ZZ,2,"Dilation of Right Hepatic Duct, Via Natural or Artificial Opening Endoscopic"
0F7,0F768ZZ,2,"Dilation of Left Hepatic Duct, Via Natural or Artificial Opening Endoscopic"
0F7,0F778ZZ,2,"Dilation of Common Hepatic Duct, Via Natural or Artificial Opening Endoscopic"
0F7,0F7C8ZZ,2,"Dilation of Ampulla of Vater, Via Natural or Artificial Opening Endoscopic"
0F7,0F753DZ,1,"Dilation of Right Hepatic Duct with Intraluminal Device, Percutaneous Approach"
0F7,0F763DZ,1,"Dilation of Left Hepatic Duct with Intraluminal Device, Percutaneous Approach"
0F7,0F763ZZ,1,"Dilation of Left Hepatic Duct, Percutaneous Approach"
0F7,0F773ZZ,1,"Dilation of Common Hepatic Duct, Percutaneous Approach"
0F7,0F778DZ,1,"Dilation of Common Hepatic Duct with Intraluminal Device, Via Natural or Artificial Opening Endoscopic"
0F7,0F788ZZ,1,"Dilation of Cystic Duct, Via Natural or Artificial Opening Endoscopic"
0F7,0F790DZ,1,"Dilation of Common Bile Duct with Intraluminal Device, Open Approach"
0F7,0F790ZZ,1,"Dilation of Common Bile Duct, Open Approach"
0F7,0F7C8DZ,1,"Dilation of Ampulla of Vater with Intraluminal Device, Via Natural or Artificial Opening Endoscopic"
0F7,0F7D8ZZ,1,"Dilation of Pancreatic Duct, Via Natural or Artificial Opening Endoscopic"
0F9,0F9930Z,9,"Drainage of Common Bile Duct with Drainage Device, Percutaneous Approach"
0F9,0F9430Z,8,"Drainage of Gallbladder with Drainage Device, Percutaneous Approach"
0F9,0F9530Z,3,"Drainage of Right Hepatic Duct with Drainage Device, Percutaneous Approach"
0F9,0F9030Z,2,"Drainage of Liver with Drainage Device, Percutaneous Approach"
0F9,0F9230Z,2,"Drainage of Left Lobe Liver with Drainage Device, Percutaneous Approach"
0F9,0F9630Z,2,"Drainage of Left Hepatic Duct with Drainage Device, Percutaneous Approach"
0F9,0F9730Z,2,"Drainage of Common Hepatic Duct with Drainage Device, Percutaneous Approach"
0F9,0F9G30Z,2,"Drainage of Pancreas with Drainage Device, Percutaneous Approach"
0F9,0F9G40Z,2,"Drainage of Pancreas with Drainage Device, Percutaneous Endoscopic Approach"
0F9,0F904ZX,1,"Drainage of Liver, Percutaneous Endoscopic Approach, Diagnostic"
0F9,0F9130Z,1,"Drainage of Right Lobe Liver with Drainage Device, Percutaneous Approach"
0F9,0F913ZZ,1,"Drainage of Right Lobe Liver, Percutaneous Approach"
0F9,0F9400Z,1,"Drainage of Gallbladder with Drainage Device, Open Approach"
0F9,0F9900Z,1,"Drainage of Common Bile Duct with Drainage Device, Open Approach"
0F9,0F9980Z,1,"Drainage of Common Bile Duct with Drainage Device, Via Natural or Artificial Opening Endoscopic"
0F9,0F998ZZ,1,"Drainage of Common Bile Duct, Via Natural or Artificial Opening Endoscopic"
0F9,0F9G3ZX,1,"Drainage of Pancreas, Percutaneous Approach, Diagnostic"
0F9,0F9G4ZZ,1,"Drainage of Pancreas, Percutaneous Endoscopic Approach"
0F9,0F9G80Z,1,"Drainage of Pancreas with Drainage Device, Via Natural or Artificial Opening Endoscopic"
0FB,0FB03ZX,16,"Excision of Liver, Percutaneous Approach, Diagnostic"
0FB,0FB13ZX,14,"Excision of Right Lobe Liver, Percutaneous Approach, Diagnostic"
0FB,0FB98ZX,11,"Excision of Common Bile Duct, Via Natural or Artificial Opening Endoscopic, Diagnostic"
0FB,0FBG0ZZ,10,"Excision of Pancreas, Open Approach"
0FB,0FBG8ZX,5,"Excision of Pancreas, Via Natural or Artificial Opening Endoscopic, Diagnostic"
0FB,0FB20ZX,4,"Excision of Left Lobe Liver, Open Approach, Diagnostic"
0FB,0FB00ZX,3,"Excision of Liver, Open Approach, Diagnostic"
0FB,0FB23ZX,3,"Excision of Left Lobe Liver, Percutaneous Approach, Diagnostic"
0FB,0FB40ZZ,3,"Excision of Gallbladder, Open Approach"
0FB,0FB90ZZ,3,"Excision of Common Bile Duct, Open Approach"
0FB,0FBG3ZX,3,"Excision of Pancreas, Percutaneous Approach, Diagnostic"
0FB,0FB00ZZ,2,"Excision of Liver, Open Approach"
0FB,0FB04ZZ,2,"Excision of Liver, Percutaneous Endoscopic Approach"
0FB,0FB10ZX,2,"Excision of Right Lobe Liver, Open Approach, Diagnostic"
0FB,0FB93ZX,2,"Excision of Common Bile Duct, Percutaneous Approach, Diagnostic"
0FB,0FBG4ZZ,2,"Excision of Pancreas, Percutaneous Endoscopic Approach"
0FB,0FB04ZX,1,"Excision of Liver, Percutaneous Endoscopic Approach, Diagnostic"
0FB,0FB10ZZ,1,"Excision of Right Lobe Liver, Open Approach"
0FB,0FB14ZX,1,"Excision of Right Lobe Liver, Percutaneous Endoscopic Approach, Diagnostic"
